,Company Name,Rating,Sector,Size,Job Description,Industry,Job Title,Revenue,Type of Ownership,Salary Estimate,Founded,Location
12,Applied Information Sciences,3.3,Information Technology,51 to 200 Employees,"Vibrent, a rapidly growing health-tech company, is looking for a Data Engineer to support Vibrent’s data-driven approach to health, as we explore data from multiple disparate sources to discover patterns and hidden insights.
We’re looking for candidates who thrive in professional, strategic and innovative user-focused environments, and who are committed to delivering quality products and/or services. The candidate must be able to think independently, analyze, troubleshoot and resolve complex business and technical problems.
You will work with very large, complex, cloud-based scientific datasets and help identify and answer questions that will shape scientific studies. The work that you do will contribute to improving the health of people across the nation.
You will be responsible for developing, optimizing and maintaining code and data pipelines.
Responsibilities",Enterprise Software & Network Solutions,Data Engineer,Unknown / Non-Applicable,Company - Private,$81K - $152K (Glassdoor est.),2008,"Reston, VA"
13,Colgate-Palmolive,4.2,Manufacturing,10000+ Employees,"Intro:
As a Data Engineer, you will use cutting-edge cloud and data technologies to help global brands and federal agencies solve challenging problems through innovative technology solutions. Work on exciting projects, future-proof your skills, and grow into your dream job alongside some of the most talented, knowledgeable, and dedicated technologists in the industry.
What You'll Be Doing:
Work in a team using cutting edge technologies to solve challenging business problems and build solutions
Apply your skills in Azure Cognitive Services, Azure PaaS, data science, data analytics, and data warehousing to pioneer Azure cloud and data services
Interact directly with our client(s) to understand their needs and meet, or exceed their expectations by meeting delivery deadlines
Location and Travel Details:
Security Clearance and Citizenship Requirements:
Profile of Success:

Desirable Skills:
About AIS:







EEO Statement:",Consumer Products Manufacturing,Data Scientist,$10+ billion (USD),Company - Public,$88K - $99K (Glassdoor est.),1806,"Piscataway, NJ"
14,Peraton,4.2,Manufacturing,10000+ Employees,"No Relocation Assistance Offered
# 103981 - Piscataway, New Jersey, United States
Do you want to be part of a team that is building a future to smile about? What about having the opportunity to connect with others across the world, full of stimulating discussions, and making impactful contributions?

If this is how you see your career, Colgate is the place to be!

Our dependable household brands, dedicated employees, and sustainability commitments make us a company passionate about building a future to smile about for our employees, consumers, and surrounding communities. The pride in our brand fuels a workplace that encourages creative thinking, champions experimentation, and promotes authenticity which has contributed to our enduring success.",Consumer Products Manufacturing,Data Scientist - SME,$10+ billion (USD),Company - Public,$88K - $99K (Glassdoor est.),1806,"Miami, FL"
15,Greater Kansas City Community Foundation,,,,"Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.
We are an Equal Opportunity/Affirmative Action Employer. We consider applicants without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, citizenship status, or membership in any other group protected by federal, state, or local law.",,Data Engineer,,,$54K - $113K (Glassdoor est.),,"Kansas City, MO"
16,NT Concepts,,,,"The Data Engineer will work with Lead Data Engineer to support Community Foundation ‘s database and Data Warehouse environment. This is a new position to support our growing organization.
This person must be agile, kind, and efficient, and operate independently and collaboratively in a manner consistent with the values of the Greater Kansas City Community Foundation.
Essential Functions:
Ability to build secure, well designed code.
Understanding of data management systems and MS SQL Server environment.
Write sophisticated and optimized SQL queries.
Experience in relational database design.",,Data Engineer,,,$54K - $113K (Glassdoor est.),,"Herndon, VA"
17,Salud Revenue Partners,,,,"The Data Engineer will work with Lead Data Engineer to support Community Foundation ‘s database and Data Warehouse environment. This is a new position to support our growing organization.
This person must be agile, kind, and efficient, and operate independently and collaboratively in a manner consistent with the values of the Greater Kansas City Community Foundation.
Essential Functions:
Ability to build secure, well designed code.
Understanding of data management systems and MS SQL Server environment.
Write sophisticated and optimized SQL queries.
Experience in relational database design.",,Data Science- Database/Applications Analyst,,,$54K - $113K (Glassdoor est.),,"Lafayette, IN"
18,Accenture,5.0,Business Services,51 to 200 Employees,"At Salud Revenue Partners, you can work for an organization dedicated to your employee development as well as delivering unparalleled results for our customers. We give staff objectives, exceptional training and technology-enabled resources to accomplish goals – and then set them free to get the job done. We encourage fresh ideas and a collaborative approach to delivering industry-leading solutions to clients.
Database/Applications Analyst
This is an opportunity for an energetic problem solver who wants to play a vital role in improving the efficiency of Salud Revenue Partners operations, while also producing information that informs Salud management, staff and clients. The Analyst works in a fast-paced environment requiring skills in programming, database design and maintenance, automation using scripts, software support, systems analysis, and documentation.
JOB DESCRIPTION",Staffing & Outsourcing,Data Science Consultant - Health/Life Sciences,Unknown / Non-Applicable,Company - Private,$63K - $115K (Glassdoor est.),2011,"Chicago, IL"
19,Deloitte,4.1,Business Services,10000+ Employees,"We Are:
Applied Intelligence, the people who love using data to tell a story. We’re also the world’s largest team of data scientists, data engineers, and experts in machine learning and AI. A great day for us Solving big problems using the latest tech, serious brain power, and deep knowledge of just about every industry. We believe a mix of data, analytics, automation, and responsible AI can do almost anything—spark digital metamorphoses, widen the range of what humans can do, and breathe life into smart products and services. Want to join our crew of sharp analytical minds Visit us here to find out more about Applied Intelligence.
You Are:
A Data Science pro—someone who thrives in a team setting where you can use your creative and analytical prowess to obliterate problems. You’re passionate about digital technology, and you take pride in making a tangible difference. You have communication and people skills in spades, along with strong leadership chops. Complex issues don’t faze you thanks to your razor-sharp critical thinking skills. Working in an information systems environment makes you more than happy.
The Work:",Consulting,Data Engineer,$10+ billion (USD),Company - Public,$63K - $115K (Glassdoor est.),1989,"Rosslyn, VA"
20,J.Jill,4.1,Business Services,10000+ Employees,"We Are:
Applied Intelligence, the people who love using data to tell a story. We’re also the world’s largest team of data scientists, data engineers, and experts in machine learning and AI. A great day for us Solving big problems using the latest tech, serious brain power, and deep knowledge of just about every industry. We believe a mix of data, analytics, automation, and responsible AI can do almost anything—spark digital metamorphoses, widen the range of what humans can do, and breathe life into smart products and services. Want to join our crew of sharp analytical minds Visit us here to find out more about Applied Intelligence.
You Are:
A Data Science pro—someone who thrives in a team setting where you can use your creative and analytical prowess to obliterate problems. You’re passionate about digital technology, and you take pride in making a tangible difference. You have communication and people skills in spades, along with strong leadership chops. Complex issues don’t faze you thanks to your razor-sharp critical thinking skills. Working in an information systems environment makes you more than happy.
The Work:",Consulting,Senior Database Administrator,$10+ billion (USD),Company - Public,$63K - $115K (Glassdoor est.),1989,"Quincy, MA"
21,Marimn Health,4.1,Accounting & Legal,10000+ Employees,"We Are:
Applied Intelligence, the people who love using data to tell a story. We’re also the world’s largest team of data scientists, data engineers, and experts in machine learning and AI. A great day for us Solving big problems using the latest tech, serious brain power, and deep knowledge of just about every industry. We believe a mix of data, analytics, automation, and responsible AI can do almost anything—spark digital metamorphoses, widen the range of what humans can do, and breathe life into smart products and services. Want to join our crew of sharp analytical minds Visit us here to find out more about Applied Intelligence.
You Are:
A Data Science pro—someone who thrives in a team setting where you can use your creative and analytical prowess to obliterate problems. You’re passionate about digital technology, and you take pride in making a tangible difference. You have communication and people skills in spades, along with strong leadership chops. Complex issues don’t faze you thanks to your razor-sharp critical thinking skills. Working in an information systems environment makes you more than happy.
The Work:",Accounting,Clinical Data Analyst,$10+ billion (USD),,$72K - $134K (Glassdoor est.),1989,"Spokane, WA"
22,Colgate-Palmolive,3.9,,10000+ Employees,"In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.
Work you'll do
Data Engineer to support data management and analytics efforts. This will be a hands-on data engineering and client-facing role focused on the support and enhancement of a data analytics environment built in AWS and Qlik. The Data Engineer will be responsible for identifying additional data sets and developing Python scripts to call APIs and extract, transform, and load data into the environment.
The team",,Data Engineer,,Unknown / Non-Applicable,$47K - $98K (Glassdoor est.),Company - Public,"Piscataway, NJ"
23,Peraton,,,Unknown,"Come work for Marimn Health - voted one of the Best Places to Work in the Inland Northwest in 2018, 2019 and 2020 and Modern Healthcare's Family Friendliest Employer in 2020! Fantastic benefits, flexible schedules, paid holidays and ability to choose vacation times!
Please note that this position is in Plummer, ID. Carpool opportunities are available.
QUALIFICATIONS: Bachelor’s degree in clinical analytics, economics, informatics, public health, or related field required. Minimum of two years of experience in quality/data management, analytics and statistics. Knowledge of clinical quality improvement methodology in the field of healthcare preferred. Proficiency in Microsoft Word & Excel programs required. Knowledge of and ability to use an electronic practice management and electronic medical record systems required. Intermediate to advanced SQL skills preferred. Must be highly self-motivated, organized and demonstrate ability to establish priorities and coordinate work activities. Must be able to analyze and draw conclusions from data and present final analyses using available tools, charts, and software.",,Mid Data Visualization Specialist,,Unknown / Non-Applicable,$47K - $98K (Glassdoor est.),Company - Public,"Fort Belvoir, VA"
24,"Alteryx, Inc.",3.7,Information Technology,10000+ Employees,,IT Services,Web Project Manager (Contract),$5 to $10 billion (USD),Company - Private,$53K - $127K (Glassdoor est.),2017,"Irvine, CA"
25,CAES,3.6,Information Technology,1001 to 5000 Employees,"We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
(This is a 5 month contract role; remote)
Revolutionizing business through data science and analytics, Alteryx offers an end-to-end analytics platform which empowers data analysts and scientists alike to break data barriers, deliver insights, and experience the thrill of getting to the answer faster. Organizations all over the world rely on Alteryx daily to
deliver actionable insights.",Enterprise Software & Network Solutions,Human Resources Analyst - Workforce Analytics Specialist,$100 to $500 million (USD),Company - Public,$63K - $140K (Glassdoor est.),1997,"Clearwater, FL"
26,Visiting Nurse Association of Central Jersey,3.0,Non-Profit,1001 to 5000 Employees,"About Us:
We are CAES, a technologically advanced electronics company employing more than 3,600 talented makers, thinkers, innovators, and doers nationwide. We build things that solve challenging problems from deep space to the depths of the ocean. We serve customers in defense, aerospace, security, medical, and industrial markets.

Are you searching for a career with a company that offers challenging, diverse projects and opportunities? Are you looking for a position with a company that is growing and able to offer long-term professional advancement? Searching for a company that values a friendly work environment and that values YOU? Consider CAES. #peoplefocusedmissiondriven

A career with CAES is more than just a job, it is the pathway to a bright future.
Overview:
CAES is searching for an experienced Workforce Analytics Specialist who can optimize our existing system investments by shaping and executing our HR data analytics strategy for CAES leadership.

Responsibilities:
Qualifications:

Employment Transparency:",Social Assistance,Data Engineer,$50 to $100 million (USD),Nonprofit Organization,$75K - $148K (Glassdoor est.),1912,"Holmdel, NJ"
27,Covenant Physician Partners,3.0,Non-Profit,1001 to 5000 Employees,"Overview:
VNA Health Group is the state’s largest not-for-profit community health provider of home health, hospice and community services. More than 1,500 certified home health aides, therapists, social workers, and visiting nurses bring their skilled care and compassion to people who need it most each day.

Interested in working for a Certified Best Places to Work organization? Look no further! The Visiting Nurse Association is a Certified Best Places to Work Organization 3 years in a row as voted on via employee surveys! The VNAHG prides itself on treating its employees with the same high level of employee care that we provide our patients. On top of the competitive salary and benefits, we also offer several outlets for employee recognition and fun! The VNAHG offers an OSCARS program for employee rewards as well virtual magic shows, relaxation and music therapy sessions. Our goal for all our employees is to love coming to work and taking pride in our mission on a daily basis. Apply today!

VNA Health Group as a new opportunity for Data Engineer to become part of the data and analytics team. This position will lead in the maintenance and development of the EDW and perform data integration projects using existing tools (e.g. Pentaho or SSIS or Informatics), and enable advanced reporting, AI tools, and predictive analytics applications for healthcare decision making and value-based care management. The individual will work in all aspects of data management and development from design through to implementation. The individual should be an expert in using EDW tools, and should have worked with Data Warehousing systems and applications. This role is responsible for deliverables in collaboration with outside vendors to deliver and maintain a comprehensive EDW, analytics, and reporting platform for VNAHG. The candidate must be able to communicate with subject-matter experts and implement specific solutions for the project (ETL, SQL, Java, JavaScript, Deployment scripts…). There is an opportunity for this role to develop into a high-level architectural position. Must be comfortable with a range of ETL and database tools and have extensive experience in the healthcare industry.
Responsibilities:

Qualifications:



EEOC: VNA Health Group provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. This job description does not state or imply that the above are the only duties and responsibilities assigned to this position. Employees holding this position will be required to perform any other job-related duties as requested by Management.",Social Assistance,Data Engineer,$50 to $100 million (USD),Nonprofit Organization,$75K - $148K (Glassdoor est.),1912,"Nashville, TN"
28,IntraFi Network,,Finance,201 to 500 Employees,"Overview:
VNA Health Group is the state’s largest not-for-profit community health provider of home health, hospice and community services. More than 1,500 certified home health aides, therapists, social workers, and visiting nurses bring their skilled care and compassion to people who need it most each day.

Interested in working for a Certified Best Places to Work organization? Look no further! The Visiting Nurse Association is a Certified Best Places to Work Organization 3 years in a row as voted on via employee surveys! The VNAHG prides itself on treating its employees with the same high level of employee care that we provide our patients. On top of the competitive salary and benefits, we also offer several outlets for employee recognition and fun! The VNAHG offers an OSCARS program for employee rewards as well virtual magic shows, relaxation and music therapy sessions. Our goal for all our employees is to love coming to work and taking pride in our mission on a daily basis. Apply today!

VNA Health Group as a new opportunity for Data Engineer to become part of the data and analytics team. This position will lead in the maintenance and development of the EDW and perform data integration projects using existing tools (e.g. Pentaho or SSIS or Informatics), and enable advanced reporting, AI tools, and predictive analytics applications for healthcare decision making and value-based care management. The individual will work in all aspects of data management and development from design through to implementation. The individual should be an expert in using EDW tools, and should have worked with Data Warehousing systems and applications. This role is responsible for deliverables in collaboration with outside vendors to deliver and maintain a comprehensive EDW, analytics, and reporting platform for VNAHG. The candidate must be able to communicate with subject-matter experts and implement specific solutions for the project (ETL, SQL, Java, JavaScript, Deployment scripts…). There is an opportunity for this role to develop into a high-level architectural position. Must be comfortable with a range of ETL and database tools and have extensive experience in the healthcare industry.
Responsibilities:

Qualifications:



EEOC: VNA Health Group provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. This job description does not state or imply that the above are the only duties and responsibilities assigned to this position. Employees holding this position will be required to perform any other job-related duties as requested by Management.",Financial Transaction Processing,Data Engineer,Unknown / Non-Applicable,Company - Private,$65K - $132K (Glassdoor est.),2002,"Arlington, VA"
29,Spectrum Communications & Consulting Inc.,4.8,Finance,201 to 500 Employees,"Open Position: Data Engineer
Headquartered in Arlington, Virginia, IntraFi Network (formerly Promontory Interfinancial Network) – the nation’s largest deposit allocation service provider and the inventor of reciprocal deposits – provides dynamic, all-weather balance sheet and liquidity management solutions to help financial institutions grow franchise value. The company, chosen by thousands of banks since its founding nearly two decades ago, has assembled the largest bank network of its kind. Its solutions help institutions to acquire high-value, local relationships; purchase funding; and reduce collateralization costs.
At IntraFi Network, we prosper by working hard in an open and creative environment. Our efforts to create and maintain a culture that values our people have led us to be designated among the top fintech companies to work for by American Banker. Promontory Network has also been recognized as one of the best places to work by the Washington Post’s Top Workplaces and the Washington Business Journal’s Best Places to Work. Our company is also recognized among Fortune’s lists of Best Workplaces—Small & Medium Businesses and Best",Financial Transaction Processing,Data Engineer,Unknown / Non-Applicable,Company - Private,$65K - $132K (Glassdoor est.),2002,"Chicago, IL"
30,Accenture,4.1,Business Services,51 to 200 Employees,"What do incubators and Spectrum have in common? Well, they’re great for growth, and even better for stability. As an innovative software development and digital marketing company pioneering the field of artificial intelligence, we can offer our newest Data Engineer the best of both words – a high energy, forward-thinking start-up culture, inside of a well-established, profitable, and stable structure . if you’re interested in getting your hands dirty and inciting change into a larger organization with a vision to change the world uses data today, then please read on.
Responsibilities
• Design, build and maintain both new and existing data infrastructures using tools including (but not limited to) Microsoft SQL Server, Azure Tables, Azure Blobs, and Azure Cosmos • Determine the right database system for a provided data set • Drafting database/table schemas • Properly index tables when applicable to ensure query performance • Create data pipelines for transforming new datasets into consistent, reliable data systems that are usable across multiple platforms • Identify optimizations and improvements in existing data pipelines • Create solutions for data validation to ensure data integrity, accuracy, and consistency • Ensure data is readily available for analysis and development usage • Shifting existing big data pipelines • Come up with data validation solutions for both initial data imports as well as results • Audit the automation process to make sure there are no gaps, redundancies, or faults in the data pipeline that would cause damage to data integrity • If necessary, come up with entirely new solutions for these automation processes • Integrating new data sets • Identifying the right database systems/tools for the job, exploring new ones if seen fit • Involvement in drafting technical documentation • Database/Table Schemas • Pipeline mapping • Detailing information on import and update processes • Table Indexing • Develop automation for importing and updating data from the data source • Validation processes •
INDSPCI",Advertising & Marketing,Life Sciences - Data Engineering Consultant,$10 to $25 million (USD),Company - Private,$71K - $128K (Glassdoor est.),1992,"Hartford, CT"
31,Accessory Power,3.5,Unknown / Non-Applicable,51 to 200 Employees,"We Are:
Applied Intelligence, the people who love using data to tell a story. We’re also the world’s largest team of data scientists, data engineers, and experts in machine learning and AI. A great day for us Solving big problems using the latest tech, serious brain power, and deep knowledge of just about every industry. We believe a mix of data, analytics, automation, and responsible AI can do almost anything—spark digital metamorphoses, widen the range of what humans can do, and breathe life into smart products and services. Want to join our crew of sharp analytical minds Visit us here to find out more about Applied Intelligence.

You Are:
A Data Science pro—someone who thrives in a team setting where you can use your creative and analytical prowess to obliterate problems. You’re passionate about digital technology, and you take pride in making a tangible difference. You have communication and people skills in spades, along with strong leadership chops. Complex issues don’t faze you thanks to your razor-sharp critical thinking skills. Working in an information systems environment makes you more than happy.

The Work:
- Creating solutions around one or more of the below areas- Analytics strategy (roadmap, maturity assessment)",Manufacturing,Forecast Analyst,,Electrical & Electronic Manufacturing,$48K - $88K (Glassdoor est.),Company - Private,"Westlake Village, Los Angeles, CA"
32,Varsity Tutors,4.1,Information Technology,201 to 500 Employees,"Mesa Data Science Instructor Jobs
With the new school year approaching, the Varsity Tutors platform has thousands of students looking for online Data Science instructors nationally and in Mesa. As an instructor who uses the Varsity Tutors platform, you can earn good money teaching small groups of students, choose your own hours, and truly make a difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid 2x per week.
Choose to tutor as much or as little as you want.
Set your own hours and schedule.",Internet,Mesa Data Science Instructor Jobs,Unknown / Non-Applicable,Company - Private,$62K - $122K (Glassdoor est.),2007,"Mesa, AZ"
33,Varsity Tutors,,Information Technology,201 to 500 Employees,"Mesa Data Science Instructor Jobs
With the new school year approaching, the Varsity Tutors platform has thousands of students looking for online Data Science instructors nationally and in Mesa. As an instructor who uses the Varsity Tutors platform, you can earn good money teaching small groups of students, choose your own hours, and truly make a difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid 2x per week.
Choose to tutor as much or as little as you want.
Set your own hours and schedule.",Internet,Alexandria Data Science Expert Jobs,Unknown / Non-Applicable,Company - Private,$62K - $122K (Glassdoor est.),2007,"Alexandria, VA"
