,Rating,Type of Ownership,Industry,Job Title,Location,Job Description,Size,Founded,Company Name,Salary Estimate,Revenue,Sector
10,3.7,Company - Private,IT Services,Strategy Consultant,"Essex, VT","Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.
We are an Equal Opportunity/Affirmative Action Employer. We consider applicants without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, citizenship status, or membership in any other group protected by federal, state, or local law.",10000+ Employees,2017,EQUITAS Life Sciences,$64K - $134K (Glassdoor est.),$5 to $10 billion (USD),Information Technology
11,3.7,Company - Private,IT Services,"Data Engineer – Fairfax, VA","Fairfax, VA","Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.
We are an Equal Opportunity/Affirmative Action Employer. We consider applicants without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, citizenship status, or membership in any other group protected by federal, state, or local law.",10000+ Employees,2017,Vibrent Health,$64K - $134K (Glassdoor est.),$5 to $10 billion (USD),Information Technology
12,3.7,Company - Private,,Data Engineer,"Reston, VA","Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.
We are an Equal Opportunity/Affirmative Action Employer. We consider applicants without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, citizenship status, or membership in any other group protected by federal, state, or local law.",10000+ Employees,2017,Applied Information Sciences,$73K - $143K (Glassdoor est.),$50 to $100 million (USD),Information Technology
13,4.4,Company - Private,IT Services,Data Scientist,"Piscataway, NJ","Intro:
As a Data Engineer, you will use cutting-edge cloud and data technologies to help global brands and federal agencies solve challenging problems through innovative technology solutions. Work on exciting projects, future-proof your skills, and grow into your dream job alongside some of the most talented, knowledgeable, and dedicated technologists in the industry.
What You'll Be Doing:
Work in a team using cutting edge technologies to solve challenging business problems and build solutions
Apply your skills in Azure Cognitive Services, Azure PaaS, data science, data analytics, and data warehousing to pioneer Azure cloud and data services
Interact directly with our client(s) to understand their needs and meet, or exceed their expectations by meeting delivery deadlines
Location and Travel Details:
Security Clearance and Citizenship Requirements:
Profile of Success:

Desirable Skills:
About AIS:







EEO Statement:",201 to 500 Employees,1982,Colgate-Palmolive,$73K - $143K (Glassdoor est.),$50 to $100 million (USD),Information Technology
14,4.4,Company - Private,IT Services,Data Scientist - SME,"Miami, FL","Intro:
As a Data Engineer, you will use cutting-edge cloud and data technologies to help global brands and federal agencies solve challenging problems through innovative technology solutions. Work on exciting projects, future-proof your skills, and grow into your dream job alongside some of the most talented, knowledgeable, and dedicated technologists in the industry.
What You'll Be Doing:
Work in a team using cutting edge technologies to solve challenging business problems and build solutions
Apply your skills in Azure Cognitive Services, Azure PaaS, data science, data analytics, and data warehousing to pioneer Azure cloud and data services
Interact directly with our client(s) to understand their needs and meet, or exceed their expectations by meeting delivery deadlines
Location and Travel Details:
Security Clearance and Citizenship Requirements:
Profile of Success:

Desirable Skills:
About AIS:







EEO Statement:",201 to 500 Employees,1982,Peraton,$73K - $143K (Glassdoor est.),$50 to $100 million (USD),Information Technology
15,4.4,Company - Private,IT Services,Data Engineer,"Kansas City, MO","Intro:
As a Data Engineer, you will use cutting-edge cloud and data technologies to help global brands and federal agencies solve challenging problems through innovative technology solutions. Work on exciting projects, future-proof your skills, and grow into your dream job alongside some of the most talented, knowledgeable, and dedicated technologists in the industry.
What You'll Be Doing:
Work in a team using cutting edge technologies to solve challenging business problems and build solutions
Apply your skills in Azure Cognitive Services, Azure PaaS, data science, data analytics, and data warehousing to pioneer Azure cloud and data services
Interact directly with our client(s) to understand their needs and meet, or exceed their expectations by meeting delivery deadlines
Location and Travel Details:
Security Clearance and Citizenship Requirements:
Profile of Success:

Desirable Skills:
About AIS:







EEO Statement:",201 to 500 Employees,1982,Greater Kansas City Community Foundation,$73K - $143K (Glassdoor est.),$50 to $100 million (USD),Information Technology
16,3.7,Company - Private,,Data Science- Database/Applications Analyst,"Lafayette, IN","Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.
We are an Equal Opportunity/Affirmative Action Employer. We consider applicants without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, citizenship status, or membership in any other group protected by federal, state, or local law.",10000+ Employees,2017,Salud Revenue Partners,$54K - $113K (Glassdoor est.),,
17,,,,Data Engineer,"Piscataway, NJ","The Data Engineer will work with Lead Data Engineer to support Community Foundation ‘s database and Data Warehouse environment. This is a new position to support our growing organization.
This person must be agile, kind, and efficient, and operate independently and collaboratively in a manner consistent with the values of the Greater Kansas City Community Foundation.
Essential Functions:
Ability to build secure, well designed code.
Understanding of data management systems and MS SQL Server environment.
Write sophisticated and optimized SQL queries.
Experience in relational database design.",,,Colgate-Palmolive,$54K - $113K (Glassdoor est.),,
18,,,,Junior Data Analyst,"Austin, TX","The Data Engineer will work with Lead Data Engineer to support Community Foundation ‘s database and Data Warehouse environment. This is a new position to support our growing organization.
This person must be agile, kind, and efficient, and operate independently and collaboratively in a manner consistent with the values of the Greater Kansas City Community Foundation.
Essential Functions:
Ability to build secure, well designed code.
Understanding of data management systems and MS SQL Server environment.
Write sophisticated and optimized SQL queries.
Experience in relational database design.",,,SubjectWell,$54K - $113K (Glassdoor est.),,
19,,,,Data Engineer,"Herndon, VA","The Data Engineer will work with Lead Data Engineer to support Community Foundation ‘s database and Data Warehouse environment. This is a new position to support our growing organization.
This person must be agile, kind, and efficient, and operate independently and collaboratively in a manner consistent with the values of the Greater Kansas City Community Foundation.
Essential Functions:
Ability to build secure, well designed code.
Understanding of data management systems and MS SQL Server environment.
Write sophisticated and optimized SQL queries.
Experience in relational database design.",,,NT Concepts,$54K - $113K (Glassdoor est.),,
20,,Company - Public,Consulting,Data Science Consultant - Health/Life Sciences,"Chicago, IL","No Relocation Assistance Offered
# 103981 - Piscataway, New Jersey, United States
Do you want to be part of a team that is building a future to smile about? What about having the opportunity to connect with others across the world, full of stimulating discussions, and making impactful contributions?

If this is how you see your career, Colgate is the place to be!

Our dependable household brands, dedicated employees, and sustainability commitments make us a company passionate about building a future to smile about for our employees, consumers, and surrounding communities. The pride in our brand fuels a workplace that encourages creative thinking, champions experimentation, and promotes authenticity which has contributed to our enduring success.",10000+ Employees,1989,Accenture,$63K - $115K (Glassdoor est.),$10+ billion (USD),Business Services
21,4.1,Company - Private,Accounting,Data Engineer,"Rosslyn, VA","We Are:
Applied Intelligence, the people who love using data to tell a story. We’re also the world’s largest team of data scientists, data engineers, and experts in machine learning and AI. A great day for us Solving big problems using the latest tech, serious brain power, and deep knowledge of just about every industry. We believe a mix of data, analytics, automation, and responsible AI can do almost anything—spark digital metamorphoses, widen the range of what humans can do, and breathe life into smart products and services. Want to join our crew of sharp analytical minds Visit us here to find out more about Applied Intelligence.
You Are:
A Data Science pro—someone who thrives in a team setting where you can use your creative and analytical prowess to obliterate problems. You’re passionate about digital technology, and you take pride in making a tangible difference. You have communication and people skills in spades, along with strong leadership chops. Complex issues don’t faze you thanks to your razor-sharp critical thinking skills. Working in an information systems environment makes you more than happy.
The Work:",10000+ Employees,1989,Deloitte,$72K - $134K (Glassdoor est.),$10+ billion (USD),Accounting & Legal
22,3.9,Company - Private,Accounting,Senior Database Administrator,"Quincy, MA","In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.
Work you'll do
Data Engineer to support data management and analytics efforts. This will be a hands-on data engineering and client-facing role focused on the support and enhancement of a data analytics environment built in AWS and Qlik. The Data Engineer will be responsible for identifying additional data sets and developing Python scripts to call APIs and extract, transform, and load data into the environment.
The team",10000+ Employees,1850,J.Jill,$72K - $134K (Glassdoor est.),$10+ billion (USD),Accounting & Legal
23,3.9,Company - Private,Accounting,Web Project Manager (Contract),"Irvine, CA","In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.
Work you'll do
Data Engineer to support data management and analytics efforts. This will be a hands-on data engineering and client-facing role focused on the support and enhancement of a data analytics environment built in AWS and Qlik. The Data Engineer will be responsible for identifying additional data sets and developing Python scripts to call APIs and extract, transform, and load data into the environment.
The team",10000+ Employees,1850,"Alteryx, Inc.",$72K - $134K (Glassdoor est.),$10+ billion (USD),Accounting & Legal
24,3.9,Company - Private,Accounting,Mid Data Visualization Specialist,"Fort Belvoir, VA","In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.
Work you'll do
Data Engineer to support data management and analytics efforts. This will be a hands-on data engineering and client-facing role focused on the support and enhancement of a data analytics environment built in AWS and Qlik. The Data Engineer will be responsible for identifying additional data sets and developing Python scripts to call APIs and extract, transform, and load data into the environment.
The team",10000+ Employees,1850,Peraton,$72K - $134K (Glassdoor est.),$10+ billion (USD),Accounting & Legal
25,3.6,Company - Public,Enterprise Software & Network Solutions,Sr. Big Data Engineer,"Chevy Chase, MD","We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
(This is a 5 month contract role; remote)
Revolutionizing business through data science and analytics, Alteryx offers an end-to-end analytics platform which empowers data analysts and scientists alike to break data barriers, deliver insights, and experience the thrill of getting to the answer faster. Organizations all over the world rely on Alteryx daily to
deliver actionable insights.",1001 to 5000 Employees,1997,GEICO,,$100 to $500 million (USD),Information Technology
26,3.7,Company - Private,IT Services,Data Engineer,"Holmdel, NJ","Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.


Responsibilities
Conducts technical statistical research and analysis and compiles and interprets statistical records and reports of programs, projects, and activities.



Desired Experience: Minimum 8 years of experience related to the specific labor category with at least a portion of the experience within the last 2 years.
Required Experience: 7 years demonstrated experience in an intelligence discipline working in the DoD or IC within the last 2 years.",10000+ Employees,2017,Visiting Nurse Association of Central Jersey,$53K - $127K (Glassdoor est.),$5 to $10 billion (USD),Information Technology
27,,Company - Private,Financial Transaction Processing,Data Engineer,"Arlington, VA","Overview:
VNA Health Group is the state’s largest not-for-profit community health provider of home health, hospice and community services. More than 1,500 certified home health aides, therapists, social workers, and visiting nurses bring their skilled care and compassion to people who need it most each day.

Interested in working for a Certified Best Places to Work organization? Look no further! The Visiting Nurse Association is a Certified Best Places to Work Organization 3 years in a row as voted on via employee surveys! The VNAHG prides itself on treating its employees with the same high level of employee care that we provide our patients. On top of the competitive salary and benefits, we also offer several outlets for employee recognition and fun! The VNAHG offers an OSCARS program for employee rewards as well virtual magic shows, relaxation and music therapy sessions. Our goal for all our employees is to love coming to work and taking pride in our mission on a daily basis. Apply today!

VNA Health Group as a new opportunity for Data Engineer to become part of the data and analytics team. This position will lead in the maintenance and development of the EDW and perform data integration projects using existing tools (e.g. Pentaho or SSIS or Informatics), and enable advanced reporting, AI tools, and predictive analytics applications for healthcare decision making and value-based care management. The individual will work in all aspects of data management and development from design through to implementation. The individual should be an expert in using EDW tools, and should have worked with Data Warehousing systems and applications. This role is responsible for deliverables in collaboration with outside vendors to deliver and maintain a comprehensive EDW, analytics, and reporting platform for VNAHG. The candidate must be able to communicate with subject-matter experts and implement specific solutions for the project (ETL, SQL, Java, JavaScript, Deployment scripts…). There is an opportunity for this role to develop into a high-level architectural position. Must be comfortable with a range of ETL and database tools and have extensive experience in the healthcare industry.
Responsibilities:

Qualifications:



EEOC: VNA Health Group provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. This job description does not state or imply that the above are the only duties and responsibilities assigned to this position. Employees holding this position will be required to perform any other job-related duties as requested by Management.",201 to 500 Employees,2002,IntraFi Network,$65K - $132K (Glassdoor est.),Unknown / Non-Applicable,Finance
28,4.8,Company - Private,Financial Transaction Processing,Human Resources Analyst - Workforce Analytics Specialist,"Clearwater, FL","Open Position: Data Engineer
Headquartered in Arlington, Virginia, IntraFi Network (formerly Promontory Interfinancial Network) – the nation’s largest deposit allocation service provider and the inventor of reciprocal deposits – provides dynamic, all-weather balance sheet and liquidity management solutions to help financial institutions grow franchise value. The company, chosen by thousands of banks since its founding nearly two decades ago, has assembled the largest bank network of its kind. Its solutions help institutions to acquire high-value, local relationships; purchase funding; and reduce collateralization costs.
At IntraFi Network, we prosper by working hard in an open and creative environment. Our efforts to create and maintain a culture that values our people have led us to be designated among the top fintech companies to work for by American Banker. Promontory Network has also been recognized as one of the best places to work by the Washington Post’s Top Workplaces and the Washington Business Journal’s Best Places to Work. Our company is also recognized among Fortune’s lists of Best Workplaces—Small & Medium Businesses and Best",201 to 500 Employees,2002,CAES,$51K - $97K (Glassdoor est.),,
29,,Unknown / Non-Applicable,,Data Scientists,"Piscataway, NJ","About Us:
We are CAES, a technologically advanced electronics company employing more than 3,600 talented makers, thinkers, innovators, and doers nationwide. We build things that solve challenging problems from deep space to the depths of the ocean. We serve customers in defense, aerospace, security, medical, and industrial markets.

Are you searching for a career with a company that offers challenging, diverse projects and opportunities? Are you looking for a position with a company that is growing and able to offer long-term professional advancement? Searching for a company that values a friendly work environment and that values YOU? Consider CAES. #peoplefocusedmissiondriven

A career with CAES is more than just a job, it is the pathway to a bright future.
Overview:
CAES is searching for an experienced Workforce Analytics Specialist who can optimize our existing system investments by shaping and executing our HR data analytics strategy for CAES leadership.

Responsibilities:
Qualifications:

Employment Transparency:",Unknown,Company - Public,Colgate-Palmolive,$51K - $97K (Glassdoor est.),,
30,,Unknown / Non-Applicable,,Data Engineer,"Nashville, TN","About Us:
We are CAES, a technologically advanced electronics company employing more than 3,600 talented makers, thinkers, innovators, and doers nationwide. We build things that solve challenging problems from deep space to the depths of the ocean. We serve customers in defense, aerospace, security, medical, and industrial markets.

Are you searching for a career with a company that offers challenging, diverse projects and opportunities? Are you looking for a position with a company that is growing and able to offer long-term professional advancement? Searching for a company that values a friendly work environment and that values YOU? Consider CAES. #peoplefocusedmissiondriven

A career with CAES is more than just a job, it is the pathway to a bright future.
Overview:
CAES is searching for an experienced Workforce Analytics Specialist who can optimize our existing system investments by shaping and executing our HR data analytics strategy for CAES leadership.

Responsibilities:
Qualifications:

Employment Transparency:",Unknown,Company - Public,Covenant Physician Partners,$51K - $97K (Glassdoor est.),,
31,,Unknown / Non-Applicable,,Data Engineer,"Chicago, IL","About Us:
We are CAES, a technologically advanced electronics company employing more than 3,600 talented makers, thinkers, innovators, and doers nationwide. We build things that solve challenging problems from deep space to the depths of the ocean. We serve customers in defense, aerospace, security, medical, and industrial markets.

Are you searching for a career with a company that offers challenging, diverse projects and opportunities? Are you looking for a position with a company that is growing and able to offer long-term professional advancement? Searching for a company that values a friendly work environment and that values YOU? Consider CAES. #peoplefocusedmissiondriven

A career with CAES is more than just a job, it is the pathway to a bright future.
Overview:
CAES is searching for an experienced Workforce Analytics Specialist who can optimize our existing system investments by shaping and executing our HR data analytics strategy for CAES leadership.

Responsibilities:
Qualifications:

Employment Transparency:",Unknown,Company - Public,Spectrum Communications & Consulting Inc.,$51K - $97K (Glassdoor est.),,
32,4.1,Company - Private,Internet,Alexandria Data Science Expert Jobs,"Alexandria, VA","Alexandria Data Science Expert Jobs
The new school year is almost here. With summer learning loss being a bigger problem than ever before, the Varsity Tutors platform has thousands of students looking for online Data Science experts nationally and in Alexandria. As an expert who uses the Varsity Tutors platform, you can earn good money and choose your own schedule while making a fundamental difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid up to 2x per week.
Teach as much or as little as you want.
Share your knowledge with large groups of students.",201 to 500 Employees,2007,Varsity Tutors,$63K - $127K (Glassdoor est.),Unknown / Non-Applicable,Information Technology
33,4.1,Company - Private,,Mesa Data Science Instructor Jobs,"Mesa, AZ","Alexandria Data Science Expert Jobs
The new school year is almost here. With summer learning loss being a bigger problem than ever before, the Varsity Tutors platform has thousands of students looking for online Data Science experts nationally and in Alexandria. As an expert who uses the Varsity Tutors platform, you can earn good money and choose your own schedule while making a fundamental difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid up to 2x per week.
Teach as much or as little as you want.
Share your knowledge with large groups of students.",201 to 500 Employees,2007,Varsity Tutors,$63K - $127K (Glassdoor est.),Unknown / Non-Applicable,Information Technology
