,Revenue,Company Name,Sector,Salary Estimate,Location,Type of Ownership,Industry,Job Title,Founded,Rating,Job Description,Size
10,$10+ billion (USD),Sam's Club,Information Technology,,"Dallas, TX",Company - Public,Internet,Data Scientist,2004,4.3,"Messenger remote presence infra team powers audio and video calling for millions of users. This is a real time calling infrastructure for Messenger, Instagram, Workchat and Portal. We are looking for Data Scientists with deep knowledge in infrastructure systems to join us.Some of the key questions you will be working on: Systematic understanding of media stack of infrastructure with data, quantify media quality and explore how media quality affect user engagement; improving networking stack and working on cutting edge technology to make remote experience more real time and fun. With this role, you can learn a lot of skills to make you an awesome DS: dive deep into tech stack of infra, experimentation (A/B testing), operational support. There is a good balance between diving deep on technical side as well as influencing engineering leaders on this role - data scientists are the key partner to deliver insights and uncover opportunities and drive engineering roadmap on the team. Team is based in Bellevue.
Build long term product vision and strategy and scope out the area for the team
Generate product ideas that affects millions of users to connect real time
#LI-REMOTE",10000+ Employees
11,$10+ billion (USD),Pacific Northwest National Laboratory,Retail,Employer Provided Salary:$91K - $145K,"Richland, WA",Subsidiary or Business Segment,General Merchandise & Superstores,Data Scientist,1983,3.3,"What you'll do...
Data Scientists in Walmart Global Tech – Sam’s Technology are responsible for analyzing large data sets to develop custom models and algorithms to help with merchandising and operational projects, such as demand forecasting, assortment planning, price optimization and space planning. Data Scientists work as a member in project teams to provide analytical support, prescriptive models, and optimization solutions in Sam’s Club.
As a Data Scientist, you are responsible for building large data sets from multiple sources, build algorithms for predicting future data characteristics and suggest optimal decision to our business stakeholders. Those algorithms will be tested, validated, and converted into applications. You will have a unique opportunity to expand your domain knowledge on ML/AI use cases in retail, research new trends in the industry and put them into practice.
Key Responsibilities",10000+ Employees
12,$500 million to $1 billion (USD),Pinnacle Group,"Oil, Gas, Energy & Utilities",,"Memphis, TN",Government,Energy,Data Engineer (Remote 667-1),1965,4.1,"Organization and Job ID
Job ID: 312391
Directorate: Physical & Computational Sciences
Division: Advanced Computing, Mathematics & Data
Group: Data Sciences & Machine Intelligence
Job Description
The Data Sciences & Machine Intelligence group in the Advanced Computing, Mathematics, and Data Division at PNNL seeks a multifaceted Data Scientist to join the group to lead and support scientific research in the broad areas of data science, machine intelligence, and autonomous learning and reasoning. This is an excellent opportunity to hone and develop your scientific career in an outstanding research institution by joining an interdisciplinary research team that focuses on accelerating scientific discovery. The primary emphasis of this position will be growing existing and adding new capabilities in the areas of Optimization, Machine Learning and Artificial Intelligence and help strengthen the group’s leadership in the emerging data science and machine intelligence fields. A successful candidate should have shown expertise in one or more of the following technical areas: optimization and optimization-based decision making, artificial intelligence and machine learning, and data analytics applied to modeling, diagnostics and control of cyber-physical systems, uncertainty quantification, system identification and model reduction, dynamical systems modeling and simulation, model predictive control, reinforcement learning algorithms, autonomous control and decision systems, and multi-agent systems.",1001 to 5000 Employees
13,,"PMCS Services, Inc",,Employer Provided Salary:$53 Per Hour,"Austin, TX",Company - Public,$25 to $50 million (USD),Data Scientist,1989,1.5,"Title: Data Engineer
Location: 100% Remote
Rate: $55/hr
Contract: Minimum 1 year

Must Have:
SQL
Hive
Python
Light UNIX",51 to 200 Employees
14,,Infomerica inc,,Employer Provided Salary:$87 - $96 Per Hour,"Cambridge, MA",,,Clinical Data Scientist,,,"We are looking for a Full time/contract employee for a Data Scientist.
Accomplish the assigned activities and deliverables within project scope and schedule;
Lead focus group sessions or other information-gathering sessions as needed, with active participation from subject matter experts and other stakeholders;
Work collaboratively with System Agency staff;
Escalate barriers and other issues to HHSC OIG as appropriate, immediately escalating concerns that may result in project implementation delays or increased costs;
Review, acknowledge in writing, and maintain consistent compliance with HHSC OIG’s applicable computer usage, security, privacy, confidentiality and non-disclosure policies;
Develop a proposed project plan that aligns with the timeframes and milestones identified within the grant. Propose adjustments to the plan when needed as the project progresses and impacts to the overall project completion timeframe or key milestones to HHSC early and clearly to mitigate project risk;",
15,,US Internal Revenue Service,,Employer Provided Salary:$67 Per Hour,"Charlotte Amalie, VI",,,Mathematical Statistician (Data Scientist) or Statistician (Data Scientist),,,"Role: Clinical Data Scientist
Location: Cambridge, MA
Duration: Long Term Contract
NO OPT/CPT Please...
Skills:
Strong technical/analytical skills to identify and solve problems
Proven ability to work with a high level of integrity, accuracy, and attention to detail
Strong organizational skills to maintain a high level of productivity to complete assignments on-time",
16,Unknown / Non-Applicable,Juno College of Technology,Government,Employer Provided Salary:$109K - $173K,Remote,Government,Federal Agencies,"Part-Time Content Creator, Data",1862,3.7,"Duties
Summary
Click on """" button below to view Eligibilities being considered and other IMPORTANT information.

WHERE CAN I FIND OUT MORE ABOUT OTHER IRS CAREERS? Visit us on the web at www.jobs.irs.gov

Responsibilities
WHAT IS THE RESEARCH, APPLIED ANALYTICS, AND STATISTICS (RAAS) DIVISION?
A description of the business units can be found at: https://www.jobs.irs.gov/about/who/business-divisions

The following are the duties of this position at the full working level. If you are selected at a lower grade level, you will have the opportunity to learn to perform these duties and will receive training to help you grow in this position.",10000+ Employees
17,Unknown / Non-Applicable,Facebook,Education,Employer Provided Salary:$96 Per Hour,Remote,School / School District,Education Training Services,"Data Engineer, Product Analytics",2012,3.8,"About the Position
We’ve been creating exceptional, life-changing courses since 2012. Our Web Development Bootcamp has helped over 1000 people become web developers, and we’re ready to expand into a new topic, Data Analytics. We’re looking for a Data professional, proficient in Tableau, SQL, and Python, to help us create our Data Analytics Bootcamp content. This position is a part-time role that requires 8 hours per week for 12 weeks, compensated at $100 an hour. This role is remote and is designed to be manageable along with a full-time job.
We know what makes great programs, modules, lessons, projects, exercises and breakouts, and you know what it takes to land a job and succeed as a Data Analyst. We’ll guide you through our curriculum creation process, and together, we’ll create a life-changing program featuring hands-on, project-based lessons, exercises and projects. You’ll work closely with our Director of Product and our talented team of instructors to craft approachable and fun lessons that will ensure our students learn the most important skills for landing a Data Analyst position, while having fun!",1 to 50 Employees
18,$10+ billion (USD),Calm,Information Technology,,Remote,Company - Public,Internet,"VP, Data Science",2004,4.3,"Every month, billions of people leverage Facebook products to connect with friends and loved ones from across the world. On the Data Engineering Team, our mission is to support these products both internally and externally by delivering the best data foundation that drives impact through informed decision making. As a highly collaborative organization, our data engineers work cross-functionally with software engineering, data science, and product management to optimize growth, strategy, and experience for over three billion users, as well as our internal employee community. In this role, you will see a direct correlation between your work, company growth, and user satisfaction. Beyond this, you will work with some of the brightest minds in the industry, and you'll have a unique opportunity to solve some of the most interesting data challenges around efficiency and integrity, at a scale few companies can match. As we continue to expand and create, we have a lot of exciting work ahead of us!
Manage and execute data warehouse plans for a product or a group of products to solve well-scoped problems.
Identify the data needed for a business problem and implement logging required to ensure availability of data, while working with data infrastructure to triage issues and resolve.
#LI-REMOTE",10000+ Employees
19,,Nestria,Unknown / Non-Applicable,,Remote,Internet,Information Technology,Python & Data Science Mentor,Company - Private,4.3,"About Calm
We have a simple mission at Calm: To make the world a happier and healthier place.
The heart of Calm is digital but the brand is expanding offline into a variety of products and services that bring more peace, clarity and perspective into people’s busy lives. We are building Calm into the Nike of the Mind. We believe Calm can become one of the most valuable and meaningful brands in the world.
Over 100 Million people have downloaded the app and we are growing by 100,000 new downloads a day. The company is profitable and headquartered in San Francisco, CA.
Calm was co-founded by Alex Tew (Million Dollar Homepage) and Michael Acton Smith (Mind Candy, Moshi Monsters, Firebox).
Mission
There’s a small gap between a product that changes lives and a product that tries to change lives. Data is how we distinguish between an attempt and a result, and as Vice President of Data Science you’ll refine Calm’s approach to data. You’ll lead our Data Science team as they transition from a Data Science team into a Data Science organization. You and your team will partner closely with folks making key decisions across all facets of the company . You’ve previously steered a Data Science team through periods of rapid growth, are familiar with the tradeoffs of different organizational approaches, and are motivated by using data to make the world a happier, healthier place.",51 to 200 Employees
20,,Walmart,,Employer Provided Salary:$17 - $96 Per Hour,"Dallas, TX",,,Data Scientist,,,"Nestria is a network for learning and careers. We are seeking talented & experienced tech professionals to offer mentorship to applicants seeking jobs in the tech industry, and offer group mentorship sessions or classes to help their career journeys.
The primary thing that a mentee is looking for is support in their career. A lot of people will be in an early phase of their career where they are just starting out in an industry. They want help searching for a job, and understanding the different directions in which they can develop their career.
Ideal candidates are currently working in the tech industry. Feel free to apply if you think that you have adequate credentials to mentor job seekers for tech industry jobs in software development or data science.
Job Type: Part-time
Pay: $18.00 - $100.00 per hour",
21,$10+ billion (USD),KesarWeb,Retail,Employer Provided Salary:$90K,"Point a la Hache, LA",Company - Public,General Merchandise & Superstores,Jr. Data Scientist,1994,3.3,"Data Scientists in Global Tech – Sam’s Technology are responsible for analyzing large data sets to develop custom models and algorithms to help with merchandising and operational projects, such as demand forecasting, assortment planning, price optimization and space planning. Data Scientists work as a member in project teams to provide analytical support, prescriptive models, and optimization solutions in Sam’s Club. As a Data Scientist, you are responsible for building large data sets from multiple sources, build algorithms for predicting future data characteristics and suggest optimal decision to our business stakeholders. Those algorithms will be tested, validated, and converted into applications. You will have a unique opportunity to expand your domain knowledge on ML/AI use cases in retail, research new trends in the industry and put them into practice.
Key Responsibilities
Understands and translates business and functional needs into AI/ML problem statements.",10000+ Employees
22,,Nestria,,Employer Provided Salary:$53K - $110K,Remote,,,Data Science Tutors,,,"KesarWeb is an industry-leading software solutions provider as well as an IT training provider for over a decade now.
Position: Strictly W2 Only
Responsibilities:
Work with developers to design algorithms and flowcharts
Produce clean, efficient code based on specifications
Integrate software components and third-party programs
Verify and deploy programs and systems
Troubleshoot, debug and upgrade existing software",
23,,"Denali System Co., Ltd",,Employer Provided Salary:$17 - $120 Per Hour,"Mountain View, CA",,,Data Scientist -- Full-time,,,"We are looking for Data Science Tutors to help members analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to help others build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help others ramp up to analyze trends to make better decisions.
Areas for Tutoring
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",
24,,CTS,,Employer Provided Salary:$120K,"New York, NY",Unknown / Non-Applicable,,Data Scientist,Company - Private,3.0,"Data Scientist -- Full-time
About Us
Denali System, a fast-growing start-up located in Silicon Valley, is committed to becoming the leading AIoT solution provider. We are dedicated to helping users break the barriers between technology, business, and data. Our goal is to help clients to discover the commercial value in the data.
Denali has built a series of industry solutions based on our platform in finance, transportation, security, public service, etc., and has reached in-depth cooperation with many enterprises, including one of the fortune 500 insurance companies. We are looking for a passionate Data Scientist to join our team and build an influential startup company with us!
Job Description",1 to 50 Employees
25,,IntegrateUs Services,,Employer Provided Salary:$82 - $87 Per Hour,Remote,Company - Private,,Data Scientist,2008,3.9,"Role: Data Science
Location: Anywhere in USA POST COVID
Duration: 6-12 Months
Please share profiles for below JD
Key Responsibilities include, but are not limited to:
Collaborate with business teams to develop production grade machine learning models on large-scale datasets and improve customers’ overall shopping experience
Enhance and apply customer lifetime value models to support various business decision making
Apply machine learning to enhance recommendation engines and deliver personalized user experience on ecommerce website and loyalty mobile app",51 to 200 Employees
26,,"Search Leaders, LLC",,Employer Provided Salary:$82 - $87 Per Hour,"Minneapolis, MN",,,Data Scientist,,,"We are looking for a Full time contractor or employee for a Data Scientist role at one our client site.
NOTE: If you are interested and please apply to the applicant tracking system (ATS) link to be a qualified job applicant.
Apply to the below link is REQUIRED and will be _ considered as a valid job applicant._
https://app.unnanu.com/jobboard/apply/JID000001489?source=Indeed
Texas Health and Human Services Commission requires the services of 1 Data Scientist (Big Data Engineer) 2, hereafter referred to as Candidate(s), who meets the general qualifications of Data Scientist (Big Data Engineer) 2, Data/Database Administration and the specifications outlined in this document for the Texas Health and Human Services Commission.",
27,Unknown / Non-Applicable,Spotify,Business Services,,"New York, NY",Company - Private,Staffing & Outsourcing,"Data Scientist, Creation Platform",1998,3.6,"Data Scientist
Our client was founded in 2010, is the fastest-growing sports data provider in the U.S. Its clients include Google, Bleacher Report, Facebook and the Pac-12 Conference. Our client drives innovation in sports by providing products that grow its customers’ businesses, maintaining the highest standards in product quality, customer service and business practices.

Job Description:
As a Data Scientist, your daily job will be to extract valuable, actionable insights from data and develop data-driven predictive models and algorithms aimed at improving our products and services. You will explore large collections of sports data collected by our client, as well as data related to the usage of our products and services, reaching millions of end-users across the globe. You will work closely with product owners and technical leads in our sports betting, sports integrity and audiovisual product verticals.",1 to 50 Employees
28,Unknown / Non-Applicable,NSI Inc.,Information Technology,,Remote,Company - Public,Internet,Data Scientist,2006,4.2,"Data, Research & Insights
Data Science
About Creation Platform
Location
New York or Remote Americas
Job type
Permanent
Spotify is a global community of over 250 million music fans, artists, and now podcasters. It's always been our mission to make audio more accessible for everyone, and create innovative ways for creators and fans to connect with each other.

Creation Platform is the team within Spotify responsible for building the best tools for audio creators. We have two platforms that help us deliver a great creator experience: Anchor, (the platform that allows you to create, distribute, monetize, and grow a podcast, all for free;) and Spotify for Podcasters, (the platform that makes it easy to understand and engage with your listeners on Spotify.",5001 to 10000 Employees
29,,McKinsey & Company,,Employer Provided Salary:$82 Per Hour,"Denver, CO",,,Data Scientist - Geospatial & Agriculture Analytics,,,"NBI (commercial arm of NSI Inc) is looking for two data scientists to support one of our video game clients. The client is based in Europe (UK), but the person we hire for this position can work from anywhere. Please note, however, that only candidates who are currently authorized to work for any employer in the USA will be considered. The ideal candidate must be fluent in ensemble forecasting methods, and be able to program in R. 1-2 years of advanced, hands-on client-side experience with writing SQL queries (or similar) is a basic requirement. Video game experience is strongly preferred, as well as proven ability to work collaboratively in teams, and balancing multiple tasks. We are looking for people who will represent our brand with a great attitude, who like to have fun at work, can function well remotely, and are technically competent. Completed Master’s degree in statistics, data science, behavioral science, or related field is required.
Job Types: Full-time, Contract
Pay: From $85.00 per hour",
30,$10+ billion (USD),Toyota,Manufacturing,$53 - $82 Per Hour(Employer est.),"Plano, TX",Company - Public,Transportation Equipment Manufacturing,Junior Data Scientist,1957,3.9,"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.
Who We're Looking For",10000+ Employees
31,$10+ billion (USD),TransUnion,Manufacturing,$53 - $82 Per Hour(Employer est.),"East Portland, OR",Company - Public,Transportation Equipment Manufacturing,Data Engineer,1957,3.9,"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.
Who We're Looking For",10000+ Employees
32,$1 to $2 billion (USD),Identical Soft,Finance,$53 - $82 Per Hour(Employer est.),"Redmond, WA",Company - Public,Financial Analytics & Research,Data Scientist,1968,4.0,"What We'll Bring:
At TransUnion, we have a welcoming and energetic environment that encourages collaboration and innovation we’re – consistently exploring new technologies and tools to be agile. This environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius.

We provide a modern computing environment based on best-in-class ""big data"" and cloud computing technologies and the freedom to explore new data sources and statistical and machine learning methodologies.

Our Analytics team is home to some of the most brilliant minds in the market. Here, we will not only understand your stats jokes, we’ll appreciate them.

Come be a part of our team – you’ll work with great people, pioneering products and cutting-edge technology.


Sr Analyst, Data Science and Analytics",5001 to 10000 Employees
33,,Measurabl,,$53 - $82 Per Hour(Employer est.),"San Diego, CA",,,Data Scientist,,,"JD
Location : Redmond, WA
Title : Data Scientist with Time Series Experience
Data Scientist – Mid level (Support Insights and/or Production Systems)
The ideal candidate is adept at using small, medium, and large sets of data to find opportunities for product and process optimization, and in using statistical tests and models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining and statistical analysis methods, defining models, and implementing both proof of concept and production statistical/analytical pipelines, using/creating algorithms, and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be highly collaborative and comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in small and medium data sets and working with stakeholders to improve business outcomes.",
34,Unknown / Non-Applicable,Microsoft,Information Technology,$53 - $82 Per Hour(Employer est.),"Bellevue, WA",Company - Private,Enterprise Software & Network Solutions,Data & Applied Scientist,2013,4.5,"This role works within the organization and within our software to determine the questions that need answers, and then identifies new and novel solutions to solve the problem. The Data Scientist is responsible for applying data mining techniques, performing statistical analysis, and building high quality prediction systems that integrate into Measurabl’s products.

Essential Functions & Responsibilities

The essential functions and responsibilities for this position include, but are not limited to, the following. Other duties may be assigned as needed.",51 to 200 Employees
35,$10+ billion (USD),Allstate,Information Technology,$53 - $82 Per Hour(Employer est.),"Northbrook, IL",Company - Public,Computer Hardware & Software,Avail - Staff Data Scientist (Remote Home Based Worker),1975,4.4,"At the Web Data team we're looking for a passionate Senior Applied Scientist to help us on our mission of employing deep learning to understand all the data on the web; the largest store of information in human history. With this understanding we power end-user experiences across a variety of areas, including:
Relevance of search results on com
Question answering
Recommender systems

As a team, we play a central role in document understanding and aggregation of data across documents leveraging the web graph. Work in our team is unique in that you'll be able to work with trillions of documents, which pushes the boundaries of our infrastructure and computational resources. Moreover, it provides interesting challenges that haven't been encountered before, thereby combining research and product applications.",10000+ Employees
36,$10+ billion (USD),Interview Query,Insurance,$53 - $82 Per Hour(Employer est.),Remote,Company - Public,Insurance Agencies & Brokerages,Data Science Content Developer,1931,3.5,"Avail is a car sharing service to help people get where they want to go–whether that’s to run errands, take an unforgettable road trip, or explore a new city–while helping locals earn cash from their unused cars. We are passionate about making shared transportation safe, simple, and affordable, and redefining what it means to own a car.

We’ve assembled some of the sharpest folks from across industries to compete against the antiquated system of traditional car rental. We put ideas into action and learn along the way in an open, collaborative work environment. As a part of Avail, you’ll make a direct impact and help build a business from the ground up. No matter where you’ve been, we’re always looking for fresh thinking and new perspectives.
Job Summary",10000+ Employees
37,,Google,,$53 - $82 Per Hour(Employer est.),"Goleta, CA",,,"Quantum Hardware Test Engineer, Quantum AI",,,"Interview Query is a small data science startup completely remote! Our mission is to help anyone in the data science field pass their interviews and land a data science job with our data science preparation materials.
To help fuel our next phase of growth, we are seeking a high-energy and ambitious Data Science Content Developer to help us with creating learning materials. As a key hire in product and operations, this person's responsibility will be to work on sharing their expertise in data science, analytics, and machine learning to our broader customer base.
You will have the opportunity to work with the founders towards learning how to build a business and grow a business while writing to a target technical demographic. You will have a large scope of responsibility with the ability to see the results of your work reflected immediately. This is a great experience for anyone interested in entrepreneurship.
This is a part time role and is extremely flexible.",
38,$10+ billion (USD),Ovintiv,Information Technology,$53 - $82 Per Hour(Employer est.),"The Woodlands, TX",Company - Public,Internet,Data Analytics Engineer,1998,4.5,"Minimum qualifications:
Bachelor's degree in Electrical Engineering, Physics, a related field or equivalent practical experience
Experience assembling scientific instruments as well as using test and measurement equipment
Experience using Linux

Preferred qualifications:
Experience with hardware test development in a research and development setting
Experience managing technicians in a laboratory environment
Experience with Python
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form.",10000+ Employees
39,Unknown / Non-Applicable,Microsoft,"Oil, Gas, Energy & Utilities",$53 - $82 Per Hour(Employer est.),United States,Company - Public,Oil & Gas Exploration & Production,Content Developer 1,2002,3.3,"As an employer, we foster an exciting culture of innovation that offers challenging and dynamic work to unlock the potential of our people. We are collaborative, fast-paced, engaged and relentlessly focused on our goals.
Attracting and retaining the right people is the key to our business strategy. We provide our employees with a variety of career growth opportunities and programs that recognize and reward demonstrated results. Our work environment promotes knowledge sharing, transparency and innovation.
Posting Close Date:
08/03/2021
Ovintiv is looking for a Data Analytics Engineer/Sr. Data Analytics Engineer to join the Anadarko and Rockies Reservoir Characterization team.",1001 to 5000 Employees
