,Revenue,Job Title,Location,Company Name,Rating,Size,Sector,Founded,Salary Estimate,Type of Ownership,Job Description,Industry
10,$10+ billion (USD),Technical Lead,"Chicago, IL",Assetmark Trust,4.2,10000+ Employees,Biotech & Pharmaceuticals,1996,$76K - $149K (Glassdoor est.),Company - Public,"Millions! Novartis made a decision to pursue early discovery research internally to allow us to quickly translate the most impactful discoveries into therapeutics for millions of patients.

This is an exciting opportunity to join the Molecular & Cellular Sciences (MCS) team within Biomarker Development (BMD) and Translational Medicine (TM) at the Novartis Institutes for Biomedical Research (NIBR). BMD focuses on delivering fit for purpose biomarkers leveraging diverse expertise and knowledge in genetics, molecular and cellular biology and state of art data sciences. As we strive to be one of the leading companies in Precision Medicine through the delivery of an end-to-end biomarker strategy, there is an increased request for biomarker support from First In Human, Proof of Concept and late phase studies.

In this laboratory-based research scientist role in BMD, you will apply your hand-on expertise to implement genetics and genomic assays including targeted and NGS-based technologies. You will work in close collaboration with MCS colleagues and clinical teams to implement the clinical biomarker plans.

Your main accountabilities will not be limited to:






What you will bring to the role:

Minimum education and requirements:


Why consider Novartis?
769 million. That’s how many lives our products touched in 2020. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?
We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.
Imagine what you could do at Novartis!

The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, marital or veteran status, disability, or any other legally protected status. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration and empowers our people to unleash their full potential.",Biotech & Pharmaceuticals
11,$10+ billion (USD),Head of Analytical Quality Control,"Thousand Oaks, CA",Takeda Pharmaceutical,4.2,10000+ Employees,Biotech & Pharmaceuticals,1996,$76K - $149K (Glassdoor est.),Company - Public,"Millions! Novartis made a decision to pursue early discovery research internally to allow us to quickly translate the most impactful discoveries into therapeutics for millions of patients.

This is an exciting opportunity to join the Molecular & Cellular Sciences (MCS) team within Biomarker Development (BMD) and Translational Medicine (TM) at the Novartis Institutes for Biomedical Research (NIBR). BMD focuses on delivering fit for purpose biomarkers leveraging diverse expertise and knowledge in genetics, molecular and cellular biology and state of art data sciences. As we strive to be one of the leading companies in Precision Medicine through the delivery of an end-to-end biomarker strategy, there is an increased request for biomarker support from First In Human, Proof of Concept and late phase studies.

In this laboratory-based research scientist role in BMD, you will apply your hand-on expertise to implement genetics and genomic assays including targeted and NGS-based technologies. You will work in close collaboration with MCS colleagues and clinical teams to implement the clinical biomarker plans.

Your main accountabilities will not be limited to:






What you will bring to the role:

Minimum education and requirements:


Why consider Novartis?
769 million. That’s how many lives our products touched in 2020. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?
We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.
Imagine what you could do at Novartis!

The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, marital or veteran status, disability, or any other legally protected status. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration and empowers our people to unleash their full potential.",Biotech & Pharmaceuticals
12,$100 to $500 million (USD),Data Engineer,"Nashville, TN",Covenant Physician Partners,3.3,1001 to 5000 Employees,Health Care,2008,$58K - $118K (Glassdoor est.),Company - Private,"Job Description:
The Data Services team is a core competency of IT that enables AssetMark Financial to deliver a platform for independent financial advisors to build great businesses. At the heart of this platform is an Enterprise Data Hub. The EDH acts as the firm’s single source of truth for data and is the foundation for all data and analytical reporting, dashboards and KPIs.
The Cloud Technical Lead will act as part of Data Services Platform team that is responsible for the design, development and management of the company’s database and data warehouse platforms. The successful candidate will be part of a team that ingests, models, prepares, stores and disseminates data throughout the organization line of business systems, strategic business partners and management.
Responsibilities:
Responsible for designing, developing and deploying of data preparation processes to be utilized for data warehouses/repositories/big data platforms, self-service reporting solutions, scorecards and dashboards on financial data using analytical and visualization tools.",Health Care Services & Hospitals
13,$100 to $500 million (USD),QUALITY DATA ANALYST,"Dayton, OH",Premier Health,4.0,1001 to 5000 Employees,Health Care,2008,$58K - $118K (Glassdoor est.),Company - Private,"Covenant Physician Partners is hiring a Data Engineer to join our Business Intelligence Team. This position may offer remote flexibility after an initial onboarding period at our Corporate Office in downtown Nashville, TN.
SUMMARY
Works directly with multiple corporate departments to create and run custom SQL queries and analyze the data. Leads projects, documents application requests, and test system changes to assist the company in meeting its corporate mission. Enjoys learning new things and solving problems in a fast-paced healthcare environment.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Research, design, implement, and support data pipelines\ETL using a variety of tools.
Source data from cloud and on-premises data sources such as 3rd party electronic heath record (EHR) and practice management (PM) software, enterprise financial software, and other online data sources.",Health Care Services & Hospitals
14,,Data Management Project Lead,"Grand Rapids, MI",BISSELL,3.6,10000+ Employees,$2 to $5 billion (USD),Nonprofit Organization,$42K - $87K (Glassdoor est.),Health Care Services & Hospitals,"110 N Main St Dayton, OH
DEPT: PHP CLINICAL ANALYTICS
FULL-TIME / MON-FRI DAY SHIFT

The Data Analyst is responsible for providing support, facilitation, and analysis to Quality Innovation, and clinical performance and operational improvement teams. Responsible for service line support, physician contract and performance data, data analysis, methodologies, and tools for analyzing and presenting or facilitating clinical data to multidisciplinary teams across the system. The Data Analyst will use and support database applications and analytical tools, evaluate data quality, produce reports and scorecards, and maintain a working knowledge of most if not all the following: Midas+, Statit PPR, Statit piMD, Care Discovery, Society of Thoracic Surgeons (STS), American College of Cardiology (ACC), National Database of Nursing Quality Indicators (NDNQI), and National Healthcare Safety Network (NHSN), and CMS and Joint Commission guidelines. The Data Analyst will develop an awareness of and familiarity with issues and events effecting the organization",Health Care
15,Unknown / Non-Applicable,Data Engineer / Care Transformation,"Omaha, NE",Children's Hospital & Medical Center,3.8,1001 to 5000 Employees,Health Care,1948,$55K - $109K (Glassdoor est.),Nonprofit Organization,"POSITION SUMMARY:
Position can be partially remote within the Grand Rapids perimeter.
The Data Management Lead (DML) will be a key contributor in a major digital transformation initiative to improve business processes. The DML will manage data requirements for multiple projects and will ensure that the Company's data is maintained with a high degree of quality and availability. The DML will be responsible for documenting how data is collected, maintained, and interpreted inside and outside of the organization for each project. The DML will also support the effort to document data-quality metrics and requirements, including defining values, ranges, and parameters, that are required for each data element.
POSITION PROFILE:
Manages project related Data Management and Data Governance activities
Single Point of Contact for all project related data requests
Coordinates resource requests to ensure data team support is available as required for each project",Health Care Services & Hospitals
16,Unknown / Non-Applicable,Supply Chain Data Analyst,"Newport News, VA",Ferguson,3.8,1001 to 5000 Employees,Health Care,1948,$55K - $109K (Glassdoor est.),Nonprofit Organization,"We are currently searching for a Data Engineer to develop strategies for warehouse implementation and data archiving. Design and build data models to optimize reporting. Design, build and support ETL solutions to centralize and automate data collection. Assist in the development, maintenance, and support of an enterprise data warehouse and its corresponding data marts and data pipelines. Troubleshoot and tune system performance.
Essential Functions
Design and build solutions to build a strong data architecture (ETL/Data architecture/Data reporting/Data management/Data Warehouse)
Design and develop data models for efficient reporting (Data architecture)",Health Care Services & Hospitals
17,Unknown / Non-Applicable,Data Analyst - Fulfilment Center,"Jacksonville, FL",Fanatics Inc.,3.8,1001 to 5000 Employees,Health Care,1948,$55K - $109K (Glassdoor est.),Nonprofit Organization,"We are currently searching for a Data Engineer to develop strategies for warehouse implementation and data archiving. Design and build data models to optimize reporting. Design, build and support ETL solutions to centralize and automate data collection. Assist in the development, maintenance, and support of an enterprise data warehouse and its corresponding data marts and data pipelines. Troubleshoot and tune system performance.
Essential Functions
Design and build solutions to build a strong data architecture (ETL/Data architecture/Data reporting/Data management/Data Warehouse)
Design and develop data models for efficient reporting (Data architecture)",Health Care Services & Hospitals
18,$10+ billion (USD),Azure MLOps Engineer,"Chevy Chase, MD",GEICO,3.4,10000+ Employees,Insurance,1936,$68K - $126K (Glassdoor est.),Subsidiary or Business Segment,,Insurance Carriers
19,$10+ billion (USD),Data Engineer,"Middletown, RI",Embrace Home Loans,3.4,10000+ Employees,Insurance,1936,$68K - $126K (Glassdoor est.),Subsidiary or Business Segment,"Job Description:
As a member of the Data Ops team at GEICO, you will be responsible for providing and maintaining a robust and scalable machine learning & data platform in Microsoft Azure. This includes configuring and provisioning components based on end users needs, productionizing machine learning resources and routines, training platform users and advising on best practices, and providing continued monitoring solutions for platform stability. You will support our IT and data science stakeholders in their efforts to design, deploy, and maintain machine learning models that provide value to many different areas of GEICO’s business – from applications, to marketing and underwriting. You will collaborate with other IT teams, including architecture, network teams, and DevOps Catalog to build solutions that meet the customer’s needs within our organizational parameters and processes.
Roles and Responsibilities:",Insurance Carriers
20,$10+ billion (USD),Data Engineer,"Chicago, IL",Equity Residential,3.4,10000+ Employees,Insurance,1936,$68K - $126K (Glassdoor est.),Subsidiary or Business Segment,"Job Description:
As a member of the Data Ops team at GEICO, you will be responsible for providing and maintaining a robust and scalable machine learning & data platform in Microsoft Azure. This includes configuring and provisioning components based on end users needs, productionizing machine learning resources and routines, training platform users and advising on best practices, and providing continued monitoring solutions for platform stability. You will support our IT and data science stakeholders in their efforts to design, deploy, and maintain machine learning models that provide value to many different areas of GEICO’s business – from applications, to marketing and underwriting. You will collaborate with other IT teams, including architecture, network teams, and DevOps Catalog to build solutions that meet the customer’s needs within our organizational parameters and processes.
Roles and Responsibilities:",Insurance Carriers
21,$2 to $5 billion (USD),Global Hardware Demand Planning Manager,"Lexington-Fayette, KY","Lexmark International, Inc.",3.9,10000+ Employees,Information Technology,1991,$55K - $112K (Glassdoor est.),Company - Private,,Computer Hardware & Software
22,$2 to $5 billion (USD),"Manager, Testing Optimization & Analytics","Boston, MA",RUE GILT GROUPE,3.9,10000+ Employees,Information Technology,1991,$55K - $112K (Glassdoor est.),Company - Private,"The Global Hardware Demand Planning Manager is a key contributor in supporting the overall efforts to generate an accurate forecast that ultimately is utilized to drive supply needs for our customers at the right mix and right time, while in-parallel striving to support Lexmark objectives in term of cash. This is a highly visible position providing key support to the leadership team within the finance organization and interacting routinely with executives from many cross-functional business areas.
The Global Hardware Demand Planning Manager is leading the WW team in charge of statistical modeling (Printers and options), focusing on mid to long term forecast and leading key projects. The success of the team is measured through key metrics.
Main responsibilities are the following:
Manage Global Demand planning activities – monthly process",Computer Hardware & Software
23,$2 to $5 billion (USD),IT Auditor - CISA required,"Boca Raton, FL",NCCI,3.9,10000+ Employees,Information Technology,1991,$55K - $112K (Glassdoor est.),Company - Private,"The Global Hardware Demand Planning Manager is a key contributor in supporting the overall efforts to generate an accurate forecast that ultimately is utilized to drive supply needs for our customers at the right mix and right time, while in-parallel striving to support Lexmark objectives in term of cash. This is a highly visible position providing key support to the leadership team within the finance organization and interacting routinely with executives from many cross-functional business areas.
The Global Hardware Demand Planning Manager is leading the WW team in charge of statistical modeling (Printers and options), focusing on mid to long term forecast and leading key projects. The success of the team is measured through key metrics.
Main responsibilities are the following:
Manage Global Demand planning activities – monthly process",Computer Hardware & Software
24,$10+ billion (USD),Regional Director - Scientific Affairs,Illinois,GE Healthcare,3.8,10000+ Employees,Health Care,1892,,Subsidiary or Business Segment,,Health Care Services & Hospitals
25,$10+ billion (USD),HR Benefits Data Analyst/Advisor,"Oklahoma City, OK",The Chickasaw Nation,3.8,10000+ Employees,Health Care,1892,,Subsidiary or Business Segment,"Job Description Summary
This role is a member of the Medical & Scientific Affairs team within the Global Research organization. The Director is responsible for driving GEHC's agenda in the clinical community, with the objective of supporting independent scientific exchange with top strategic partners. The role serves as liaison between commercial, research & development activities, and targeting key opinion leaders in support of product roadmap development, technology innovation and research needs.

GE Healthcare is a medical technology and diagnostics business with a vision to become the leading innovator enabling precision health. With us, you can touch the lives of thousands of people globally and make every moment matter in your career.
Job Description",Health Care Services & Hospitals
26,,"Senior Manager, Lifecycle Marketing","San Francisco, CA",Udemy,,,,,$74K - $164K (Glassdoor est.),,"Job Title: Benefits Data Analyst & Advisor
General Definition: This role will provide data driven recommendations to senior leadership of the Department of Interior Services as it pertains to human capital, employee benefit plans, policy changes, FY budgeting and other financial initiatives.
Supervision Received: Director, Financial Performance & Defined Contribution Plans, Human Resources/Benefits
Supervision Exercised: None
MINIMUM QUALIFICATIONS
Training and Experience:",
27,,Network Engineer,"Stafford, VA",Excelerated Analytics LLC,,,,,$74K - $164K (Glassdoor est.),,"About Udemy
We believe anyone can build the life they imagine through online learning. Today, millions of students around the world are advancing their careers and passions by exploring and mastering new skills on Udemy, and expert instructors are able to share their knowledge with the world. Through our global marketplace and our solutions for businesses and governments, we connect people everywhere with the skills they need for success in work and life. We’re a close-knit bunch that enjoys problem-solving and collaboration, and we share a serious belief in the power of learning and teaching to change lives. Udemy’s culture encourages innovation, creativity, passion, and teamwork. We also celebrate our milestones and support each other every day.
Founded in 2010, Udemy is privately owned and headquartered in San Francisco’s SOMA neighborhood with offices in Denver (Colorado), Dublin (Ireland), Ankara (Turkey), Gurugram (India), and São Paulo (Brazil).
Udemy in the News",
28,$10+ billion (USD),Senior Data Engineer,"Chevy Chase, MD",GEICO,3.4,10000+ Employees,Insurance,1936,$84K - $139K (Glassdoor est.),Subsidiary or Business Segment,"Position Description:
We are looking for an experienced Network Engineer who will be responsible for maintaining and upgrading system network hardware and software on our customers enterprise scale big data analytics platform.
The network engineer will work with a team of professions with skills in system security, data science, database administration and visualization to enable our customers to analyze large amounts of different kinds of data and surface patterns and insights that are relevant to accomplishing national security goals.
Clearance: TS/SCI clearance
Duties:
Lead system administrator for installation of hardware and software, and management of system upgrades throughout the Software Development Lifecycle.",Insurance Carriers
29,$10+ billion (USD),Cloud Data Science Manager,"Reston, VA",Fannie Mae,3.4,10000+ Employees,Insurance,1936,$84K - $139K (Glassdoor est.),Subsidiary or Business Segment,"Senior Big Data Developer / Data Engineer

The Data Consumption team of Data Security & Infrastructure (DSI) is seeking a highly motivated Senior Data Engineer to start or continue an IT career in GEICO Data Operations division. Teaming up with architects, scrum masters, leads, managers and directors, you will work in an Agile environment to make the data on our Enterprise Data Platform accessible for the needs of the organization. You will be working in a team with Data Architects and Analysts to build our next generation data platform in Azure. You will be trailblazing to apply Software Development techniques such as Automated Testing and CI/CD to building data products. You should be intellectually curious, have a solutions-oriented attitude and enjoy learning new tools and techniques.
Qualifications
5+ years’ experience with Relational Database Systems and SQL, designing, developing ETLs",Insurance Carriers
30,$2 to $5 billion (USD),Senior Data Science Manager - Job Seeker Profile,"Denver, CO",Indeed,4.3,10000+ Employees,Information Technology,2004,$95K - $186K (Glassdoor est.),Company - Private,"Your Job
The Jobseeker Profile team is at the center of people's professional life, personal growth and goals. At the right moment, helping them discover and get relevant jobs effectively. Our mission - Help job seekers to effectively represent themselves to employers. Our vision is to help every job seeker in the world understand why and how to create a profile on Indeed such that they can effectively represent themselves to employers

The role of Data Science at Indeed is to follow the data. We log, analyze, visualize, and model terabytes of job search data. Our Data Scientists build and implement machine learning models to make timely decisions. Each of us is a mixture of a statistician, scientist, machine learning expert, and engineer. We have a passion for building and improving Internet-scale products. We seek to understand human behavior via careful experimentation and analysis, to ""help people get jobs"".

You're someone who wants to see the impact of your work making a difference every day. You understand how to use data to make decisions and how to train others to do so. You find passion in the craft and are constantly seeking improvement and better ways to solve tough problems. You produce the highest quality Data Science solutions and lead others to do the same.



We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.
As the world’s number 1 job site*, our mission is to help people get jobs. We strive to cultivate an inclusive and accessible workplace where all people feel comfortable being themselves. We're looking to grow our teams with more people who share our enthusiasm for innovation and creating the best experience for job seekers. *comScore Total Visits, March 2019",Internet
31,$25 to $50 million (USD),Lead Data Science Analyst - IHM,"Riverwoods, IL",Discover,4.3,10000+ Employees,Finance,2004,$95K - $186K (Glassdoor est.),Company - Public,"Your Job
The Jobseeker Profile team is at the center of people's professional life, personal growth and goals. At the right moment, helping them discover and get relevant jobs effectively. Our mission - Help job seekers to effectively represent themselves to employers. Our vision is to help every job seeker in the world understand why and how to create a profile on Indeed such that they can effectively represent themselves to employers

The role of Data Science at Indeed is to follow the data. We log, analyze, visualize, and model terabytes of job search data. Our Data Scientists build and implement machine learning models to make timely decisions. Each of us is a mixture of a statistician, scientist, machine learning expert, and engineer. We have a passion for building and improving Internet-scale products. We seek to understand human behavior via careful experimentation and analysis, to ""help people get jobs"".

You're someone who wants to see the impact of your work making a difference every day. You understand how to use data to make decisions and how to train others to do so. You find passion in the craft and are constantly seeking improvement and better ways to solve tough problems. You produce the highest quality Data Science solutions and lead others to do the same.



We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.
As the world’s number 1 job site*, our mission is to help people get jobs. We strive to cultivate an inclusive and accessible workplace where all people feel comfortable being themselves. We're looking to grow our teams with more people who share our enthusiasm for innovation and creating the best experience for job seekers. *comScore Total Visits, March 2019",Banks & Credit Unions
32,$25 to $50 million (USD),Web Project Manager (Contract),"Irvine, CA","Alteryx, Inc.",3.9,1001 to 5000 Employees,Finance,1985,$95K - $186K (Glassdoor est.),Company - Public,"Discover. A brighter future.
With us, you’ll do meaningful work from Day 1. Our collaborative culture is built on three core behaviors: We Play to Win, We Get Better Every Day & We Succeed Together. And we mean it — we want you to grow and make a difference at one of the world's leading digital banking and payments companies. We value what makes you unique so that you have an opportunity to shine.
Come build your future, while being the reason millions of people find a brighter financial future with Discover.
Job Description

TITLE: Lead Data Science Analyst",Banks & Credit Unions
33,,Data Analyst,Remote,"PavCon, LLC",3.6,,,,$95K - $186K (Glassdoor est.),,"Discover. A brighter future.
With us, you’ll do meaningful work from Day 1. Our collaborative culture is built on three core behaviors: We Play to Win, We Get Better Every Day & We Succeed Together. And we mean it — we want you to grow and make a difference at one of the world's leading digital banking and payments companies. We value what makes you unique so that you have an opportunity to shine.
Come build your future, while being the reason millions of people find a brighter financial future with Discover.
Job Description

TITLE: Lead Data Science Analyst",
