,Salary Estimate,Founded,Company Name,Job Title,Job Description,Rating,Revenue,Sector,Size,Industry,Type of Ownership,Location
13,,1989,FAAZ Consulting,SAS Data Scientist,"Organization: Corporate Functions/Research
Location: US Negotiable - New York, Boston, Chicago, Atlanta
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions — underpinned by the world’s largest delivery network — Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 505,000 people serving clients in more than 200 cities with operations across 51 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.
People in the Corporate Function contribute to the running of Accenture as a high- performance business through specialization within a specific functional area, and grow into internally focused roles by deepening their skills and/or developing new skills within an internal functional area.",4.1,$10+ billion (USD),Business Services,10000+ Employees,Consulting,Company - Public,"Washington, DC"
14,,1989,"VIZIO, Inc.",Data Scientist,"Organization: Corporate Functions/Research
Location: US Negotiable - New York, Boston, Chicago, Atlanta
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions — underpinned by the world’s largest delivery network — Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 505,000 people serving clients in more than 200 cities with operations across 51 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.
People in the Corporate Function contribute to the running of Accenture as a high- performance business through specialization within a specific functional area, and grow into internally focused roles by deepening their skills and/or developing new skills within an internal functional area.",4.1,$10+ billion (USD),Business Services,10000+ Employees,Consulting,Company - Public,"Denver, CO"
15,Employer Provided Salary:$91K - $145K,1983,Sam's Club,Data Scientist,,,$10+ billion (USD),Retail,10000+ Employees,General Merchandise & Superstores,Subsidiary or Business Segment,"Dallas, TX"
16,Employer Provided Salary:$91K - $145K,1983,Digital Trike,Data Science & Analytics,"What you'll do...
Data Scientists in Walmart Global Tech – Sam’s Technology are responsible for analyzing large data sets to develop custom models and algorithms to help with merchandising and operational projects, such as demand forecasting, assortment planning, price optimization and space planning. Data Scientists work as a member in project teams to provide analytical support, prescriptive models, and optimization solutions in Sam’s Club.
As a Data Scientist, you are responsible for building large data sets from multiple sources, build algorithms for predicting future data characteristics and suggest optimal decision to our business stakeholders. Those algorithms will be tested, validated, and converted into applications. You will have a unique opportunity to expand your domain knowledge on ML/AI use cases in retail, research new trends in the industry and put them into practice.
Key Responsibilities",3.3,$10+ billion (USD),Retail,10000+ Employees,General Merchandise & Superstores,Subsidiary or Business Segment,"South Jordan, UT"
17,Employer Provided Salary:$23 - $31 Per Hour,,Treeco Group,Data Engineer,,,,,,,,"Chicago, IL"
18,Employer Provided Salary:$23 - $31 Per Hour,,FinTek Solutions LLC,Data Science,"We’re looking for an experienced Data Engineer with a strong background in statistics and SQL, Python and/or R skills to join our team! Do you want a role where you can really make a difference? Then this role could be perfect for you! In this role you will apply your deep expertise in analytics and data science techniques to enable better customer understanding and inform business decisioning for us.
Key Responsibilities
Contribute to a shared analytics architecture and plan for machine decisioning, claims optimisation and manage components of delivery to that plan.
Elicit and understand stakeholder needs before scoping and developing analytical methodologies to generate training data and build advanced analytical models and solutions with a view to activating them within business processes.
Adopt a product management approach to deliver valuable improvements often, continuously improve and meet stakeholder needs.",,,,,,,"Tampa, FL"
19,Employer Provided Salary:$54K - $80K,2000,FedEx Services,Data Analyst,"Job Description
Visas accepted- H1B, H4-EAD, GC, GC-EAD, US Citizens, OPT
Must have :
TensorFlow 2.0 and above, TF sequential and Functional model,
TF activations functions : Must have hands on knowledge of RELU, Softmax, Tanh, Sigmoid
TF keras losses : Must have hands on MeanAbsxx, MeanSqxx and CrossEntropy
Keras, Keras functional API
Python - deep hands on knowledge of pandas and scikit
SQL , Stored procedures, Views
Linux : Reasonable working knowledge required, including basic shell scripting.
Nice to have : SQL Alchemy, CX_Oracle or similar direct to pandas integration with SQL. Tableau , Looker",4.1,$1 to $5 million (USD),Transportation & Logistics,10000+ Employees,Logistics & Supply Chain,Company - Public,Virginia
20,Employer Provided Salary:$54K - $80K,2000,Pinnacle Group,Data Engineer (Remote 667-1),"Company: FedEx Services
Job Title: Data Analyst
Job Requisition Number: RC389493
Category: Decision Science & Analytics
Pay Type: Exempt
Locations:
Remote, Tennessee 38120
United States

Oklahoma City, Oklahoma 73105
United States

Compensation: Monthly Salary $4504.12 - $6688.92
The estimate displayed represents the typical salary range or starting rate of candidates hired in Colorado. Factors that may be used to determine your actual salary may include your specific skills, your remote work location (for remote postings), how many years of experience you have, and comparison to other employees already in this role.",4.1,$1 to $5 million (USD),Transportation & Logistics,10000+ Employees,Logistics & Supply Chain,Company - Public,"Memphis, TN"
21,Employer Provided Salary:$53 Per Hour,1989,Facebook,"Data Scientist, Analytics (University Grad)","Company: FedEx Services
Job Title: Data Analyst
Job Requisition Number: RC389493
Category: Decision Science & Analytics
Pay Type: Exempt
Locations:
Remote, Tennessee 38120
United States

Oklahoma City, Oklahoma 73105
United States

Compensation: Monthly Salary $4504.12 - $6688.92
The estimate displayed represents the typical salary range or starting rate of candidates hired in Colorado. Factors that may be used to determine your actual salary may include your specific skills, your remote work location (for remote postings), how many years of experience you have, and comparison to other employees already in this role.",1.5,,,51 to 200 Employees,$25 to $50 million (USD),Company - Public,"Menlo Park, CA"
22,Employer Provided Salary:$29 Per Hour,,Brilliant,Data Visualization Analyst,"Title: Data Engineer
Location: 100% Remote
Rate: $55/hr
Contract: Minimum 1 year

Must Have:
SQL
Hive
Python
Light UNIX",,,,,,,"Lake Forest, IL"
23,Employer Provided Salary:$29 Per Hour,,Pivosys Inc.,Python Developer -With Data Science Experience,"This is a 100% remote role.
No more than 3 years of experience.
Summary:
Data Visualization Analyst , you will be the data expert and advisor for Workforce Analytics. The position is critical in supporting multiple People Disciplines within the business
You will have the opportunity to:
Maintain weekly, monthly and quarterly workforce metrics and analysis
Provide written insights on scheduled and ad hoc data analysis request
Use consulting skills to determine and articulate internal customer business questions, develop the best approach for data analysis and turn data into actionable insights & actions
Support HR data analysis as assigned.
You will love it here if…
You are detail oriented
You thrive in a fast paced and high energy environment
You are a creative and dynamic problem solver
You are committed to excellence",,,,,,,"Sacramento, CA"
24,Employer Provided Salary:$34 - $54 Per Hour,Company - Public,Dell Technologies,Jr Data Scientist-AI/ML (Remote-United States),"Python Developer - With Data Science Experience
C2C
Position is with Cognizant and so should not have a submission with them in the last 3 months. if you applied, don't apply now.
Job Type: Full-time
Pay: $35.00 - $56.00 per hour
Schedule:
8 hour shift",,,,1 to 50 Employees,,Unknown / Non-Applicable,"Round Rock, TX"
25,Employer Provided Salary:$24 - $48 Per Hour,1984,Interview Query,Data Science Content Developer,"Jr Data Scientist-AI/ML (Remote-United States)
Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-intensive analytic processing, our mission is to develop a whole new approach to generating meaning and value from petabyte-scale data sets and shape brand new methodologies, tools, statistical methods and models. What’s more, we are in collaboration with leading academics, industry experts and highly skilled engineers to equip our customers to generate sophisticated new insights from the biggest of big data.
Join us to do the best work of your career and make a profound social impact as a Senior Data Scientist within our Digital IT organization's Digital Analytics and Data Science team.

What you’ll achieve",4.2,,,10000+ Employees,IT Services,Company - Public,Remote
26,Employer Provided Salary:$24 - $48 Per Hour,,Ars Quanta,Data Scientists,"Interview Query is a small data science startup completely remote! Our mission is to help anyone in the data science field pass their interviews and land a data science job with our data science preparation materials.
To help fuel our next phase of growth, we are seeking a high-energy and ambitious Data Science Content Developer to help us with creating learning materials. As a key hire in product and operations, this person's responsibility will be to work on sharing their expertise in data science, analytics, and machine learning to our broader customer base.
You will have the opportunity to work with the founders towards learning how to build a business and grow a business while writing to a target technical demographic. You will have a large scope of responsibility with the ability to see the results of your work reflected immediately. This is a great experience for anyone interested in entrepreneurship.
This is a part time role and is extremely flexible.",,,,,,,"Seattle, WA"
27,,Company - Private,Revelio Labs,"Data Engineer, Dashboard",We are always looking for Data Scientists who want to work on challenging and interesting projects in a variety of industries.,5.0,,$10 to $25 million (USD),1 to 50 Employees,Business Services,Consulting,"New York, NY"
28,,Company - Private,CORMAC,Junior Data Scientist / Entry Level Data Scientist,We are always looking for Data Scientists who want to work on challenging and interesting projects in a variety of industries.,5.0,,$10 to $25 million (USD),1 to 50 Employees,Business Services,Consulting,United States
29,,1957,Toyota,Junior Data Scientist,"Who we are:
Revelio Labs provides workforce intelligence. We absorb and standardize hundreds of millions of public employment records to create the world’s first universal HR database, allowing us to see current workforce composition and trends of any company. Our customers include investors, corporate strategists, HR teams, and governments.
What we're looking for:
Revelio Labs is looking for a Data Engineer with strong software engineering skills to work on a variety of novel problems related to infrastructure platform building, data analysis, and process automation. We prefer candidates who are self motivated and can think creatively about different ways to approach a problem.
Experience:
Master’s Degree in Computer Science or 2+ years of industry experience",3.2,$10+ billion (USD),Manufacturing,10000+ Employees,Transportation Equipment Manufacturing,Company - Public,"Plano, TX"
30,$90K (Employer est.),Company - Private,Envision,Data Scientist with statistics focus – entry level,"Data Scientist with MS in Statistics or Biostatistics

No C2C, must be our W2 employee, will consider qualified OPT EAD

Must relocate to West Sacramento, CA after the pandemic

Required Qualifications:
MS in biostatistics or statistics.
Sophisticated programming skill in R, Python, and experience in SAS.
Good at a wide range of statistical techniques including, but not limited to, experimental design, general and generalized linear mixed models, multivariate statistics, non-parametric analysis, and statistics.
Working experience, including graduate research projects, in machine learning algorithms.",,,Unknown / Non-Applicable,51 to 200 Employees,Business Services,Advertising & Marketing,"West Sacramento, CA"
31,$90K (Employer est.),1994,Walmart,Data Scientist,"Data Scientist with MS in Statistics or Biostatistics

No C2C, must be our W2 employee, will consider qualified OPT EAD

Must relocate to West Sacramento, CA after the pandemic

Required Qualifications:
MS in biostatistics or statistics.
Sophisticated programming skill in R, Python, and experience in SAS.
Good at a wide range of statistical techniques including, but not limited to, experimental design, general and generalized linear mixed models, multivariate statistics, non-parametric analysis, and statistics.
Working experience, including graduate research projects, in machine learning algorithms.",,$10+ billion (USD),Retail,51 to 200 Employees,General Merchandise & Superstores,Company - Public,"Dallas, TX"
32,$90K (Employer est.),1994,veritis group inc,Data Scientist,"Data Scientists in Global Tech – Sam’s Technology are responsible for analyzing large data sets to develop custom models and algorithms to help with merchandising and operational projects, such as demand forecasting, assortment planning, price optimization and space planning. Data Scientists work as a member in project teams to provide analytical support, prescriptive models, and optimization solutions in Sam’s Club. As a Data Scientist, you are responsible for building large data sets from multiple sources, build algorithms for predicting future data characteristics and suggest optimal decision to our business stakeholders. Those algorithms will be tested, validated, and converted into applications. You will have a unique opportunity to expand your domain knowledge on ML/AI use cases in retail, research new trends in the industry and put them into practice.
Key Responsibilities
Understands and translates business and functional needs into AI/ML problem statements.",3.3,$10+ billion (USD),Retail,10000+ Employees,General Merchandise & Superstores,Company - Public,"Irving, TX"
33,$90K (Employer est.),,Data Xpander,Data Scientist,"Data Scientists in Global Tech – Sam’s Technology are responsible for analyzing large data sets to develop custom models and algorithms to help with merchandising and operational projects, such as demand forecasting, assortment planning, price optimization and space planning. Data Scientists work as a member in project teams to provide analytical support, prescriptive models, and optimization solutions in Sam’s Club. As a Data Scientist, you are responsible for building large data sets from multiple sources, build algorithms for predicting future data characteristics and suggest optimal decision to our business stakeholders. Those algorithms will be tested, validated, and converted into applications. You will have a unique opportunity to expand your domain knowledge on ML/AI use cases in retail, research new trends in the industry and put them into practice.
Key Responsibilities
Understands and translates business and functional needs into AI/ML problem statements.",,,,,,,United States
34,$90K (Employer est.),,Siemens,GDC Data Catalog DevOps Professional,"Email at hr@dataxpander.com
They need to have statistical, mathematical, predictive modelling as well as business strategy skills to build the algorithms necessary to ask the right questions and find the right answers. They also need to be able to communicate their findings, orally and visually. They need to understand how the products are developed and even more important, as big data touches the privacy of consumers, they need to have a set of ethical responsibilities.",,,,,,,"Ice, KY"
35,$90K (Employer est.),,John Deere,Data Science & Analytics Development Program 2021b,"Email at hr@dataxpander.com
They need to have statistical, mathematical, predictive modelling as well as business strategy skills to build the algorithms necessary to ask the right questions and find the right answers. They also need to be able to communicate their findings, orally and visually. They need to understand how the products are developed and even more important, as big data touches the privacy of consumers, they need to have a set of ethical responsibilities.",,,,,,,"Moline, IL"
36,$90K (Employer est.),,Source Enterprises,Data Scientist,"Email at hr@dataxpander.com
They need to have statistical, mathematical, predictive modelling as well as business strategy skills to build the algorithms necessary to ask the right questions and find the right answers. They also need to be able to communicate their findings, orally and visually. They need to understand how the products are developed and even more important, as big data touches the privacy of consumers, they need to have a set of ethical responsibilities.",,,,,,,"New York, NY"
37,$90K (Employer est.),,Cuker,Data Science & Analytics Specialist,"Email at hr@dataxpander.com
They need to have statistical, mathematical, predictive modelling as well as business strategy skills to build the algorithms necessary to ask the right questions and find the right answers. They also need to be able to communicate their findings, orally and visually. They need to understand how the products are developed and even more important, as big data touches the privacy of consumers, they need to have a set of ethical responsibilities.",,,,,,,"Carlsbad, CA"
38,$90K (Employer est.),Company - Private,Salesforce,Data Science Engineer,"Source Systems is now inviting the brightest, creative and passionate minds to become a part of our Data Scientist Internship Program. Work with our industry experts to gain unrivaled knowledge at both the strategic level (generating bold and innovative ideas for data science-driven growth) and at the tactical level across multiple teams (building and testing hypotheses, creating predictive analytics models, incorporating findings into proof points supporting product launches). These invaluable experiences will greatly increase your skills and value to employers. We know what it takes to leverage powerful data systems that are used to provide important results for company planning and key decision making.
Job Description
A position at Source Systems is a rich experience that cannot be duplicated in any other learning/working environment. We are looking for a Data Scientist Intern that helps us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products.",4.4,,Unknown / Non-Applicable,1 to 50 Employees,Information Technology,IT Services,"Seattle, WA"
39,$90K (Employer est.),Company - Private,Amazon.com Services LLC,SDE- Measurement & Data Science- 2021,"Source Systems is now inviting the brightest, creative and passionate minds to become a part of our Data Scientist Internship Program. Work with our industry experts to gain unrivaled knowledge at both the strategic level (generating bold and innovative ideas for data science-driven growth) and at the tactical level across multiple teams (building and testing hypotheses, creating predictive analytics models, incorporating findings into proof points supporting product launches). These invaluable experiences will greatly increase your skills and value to employers. We know what it takes to leverage powerful data systems that are used to provide important results for company planning and key decision making.
Job Description
A position at Source Systems is a rich experience that cannot be duplicated in any other learning/working environment. We are looking for a Data Scientist Intern that helps us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products.",4.4,,Unknown / Non-Applicable,1 to 50 Employees,Information Technology,IT Services,"Boulder, CO"
40,$90K (Employer est.),Company - Private,United Solutions LLC,Data Scientist,"Source Systems is now inviting the brightest, creative and passionate minds to become a part of our Data Scientist Internship Program. Work with our industry experts to gain unrivaled knowledge at both the strategic level (generating bold and innovative ideas for data science-driven growth) and at the tactical level across multiple teams (building and testing hypotheses, creating predictive analytics models, incorporating findings into proof points supporting product launches). These invaluable experiences will greatly increase your skills and value to employers. We know what it takes to leverage powerful data systems that are used to provide important results for company planning and key decision making.
Job Description
A position at Source Systems is a rich experience that cannot be duplicated in any other learning/working environment. We are looking for a Data Scientist Intern that helps us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products.",4.4,,Unknown / Non-Applicable,1 to 50 Employees,Information Technology,IT Services,"Rockville, MD"
41,$90K (Employer est.),1999,Envision,Data Scientist,"Source Systems is now inviting the brightest, creative and passionate minds to become a part of our Data Scientist Internship Program. Work with our industry experts to gain unrivaled knowledge at both the strategic level (generating bold and innovative ideas for data science-driven growth) and at the tactical level across multiple teams (building and testing hypotheses, creating predictive analytics models, incorporating findings into proof points supporting product launches). These invaluable experiences will greatly increase your skills and value to employers. We know what it takes to leverage powerful data systems that are used to provide important results for company planning and key decision making.
Job Description
A position at Source Systems is a rich experience that cannot be duplicated in any other learning/working environment. We are looking for a Data Scientist Intern that helps us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products.",4.4,$10+ billion (USD),Information Technology,1 to 50 Employees,,,"Saint Louis, MO"
42,$90K (Employer est.),1994,Nike,"Director, Communications Algorithms Data Science","2+ years of non-internship professional software development experience
Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design
1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.
Are you passionate about using Big Data to build customer trust and grow new business? Global advertisers rely on our team's performance insights to drive future investment in Amazon's Advertising Platform and improve the relevance of ads shown to customers. We’re looking for strong Software Engineers that can combine open source technologies such as Hbase, Spark, Hadoop and Presto, as well as AWS services like DynamoDB, Kinesis, Elastic Map Reduce and Redshift to build the next generation of our analytics and visualization platform. If this sounds interesting we’d love to hear from you!
Amazon is well positioned to grow its share of a fast growing online advertising industry due to its unique assets - e-commerce data, service oriented architecture, and startup culture. Be part of a team of industry leading experts that builds and operates one of the largest big data analytics platform at Amazon. Amazon is applying the latest machine learning and big data technologies available to change the way marketers purchase, track, measure, and optimize their advertising spend. We apply these technologies on terabytes of data (over 10B new events per day) and operate clusters that push scalability limits of the existing technologies. We seek to measure every possible signal indicating impact of advertising to provide the most objective result of marketing spends.
This role will involve designing and developing software products that impact many areas of our business. The individual in this role will have responsibility help define requirements, create software designs, implement code to these specifications, provide thorough unit and integration testing, and support products while deployed and used by our stakeholders.

We are hiring in multiple locations, Boulder, Arlington, and Toronto.

The pay range for this position in Colorado is $122,200 - 160,000/yr; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site. Amazon is committed to a diverse and inclusive workplace.

Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us. #madsjob #sspajobs",3.8,$10+ billion (USD),Information Technology,10000+ Employees,Internet,Company - Public,"Beaverton, OR"
43,$90K (Employer est.),1994,Vastek Inc.,Data Scientist,"2+ years of non-internship professional software development experience
Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design
1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.
Are you passionate about using Big Data to build customer trust and grow new business? Global advertisers rely on our team's performance insights to drive future investment in Amazon's Advertising Platform and improve the relevance of ads shown to customers. We’re looking for strong Software Engineers that can combine open source technologies such as Hbase, Spark, Hadoop and Presto, as well as AWS services like DynamoDB, Kinesis, Elastic Map Reduce and Redshift to build the next generation of our analytics and visualization platform. If this sounds interesting we’d love to hear from you!
Amazon is well positioned to grow its share of a fast growing online advertising industry due to its unique assets - e-commerce data, service oriented architecture, and startup culture. Be part of a team of industry leading experts that builds and operates one of the largest big data analytics platform at Amazon. Amazon is applying the latest machine learning and big data technologies available to change the way marketers purchase, track, measure, and optimize their advertising spend. We apply these technologies on terabytes of data (over 10B new events per day) and operate clusters that push scalability limits of the existing technologies. We seek to measure every possible signal indicating impact of advertising to provide the most objective result of marketing spends.
This role will involve designing and developing software products that impact many areas of our business. The individual in this role will have responsibility help define requirements, create software designs, implement code to these specifications, provide thorough unit and integration testing, and support products while deployed and used by our stakeholders.

We are hiring in multiple locations, Boulder, Arlington, and Toronto.

The pay range for this position in Colorado is $122,200 - 160,000/yr; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site. Amazon is committed to a diverse and inclusive workplace.

Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us. #madsjob #sspajobs",3.8,$10+ billion (USD),Information Technology,10000+ Employees,Internet,Company - Public,"Dallas, TX"
