,Sector,Company Name,Size,Location,Rating,Job Description,Type of Ownership,Industry,Salary Estimate,Founded,Job Title,Revenue
10,Business Services,Accenture,10000+ Employees,"Atlanta Central City Post Offi, GA",,"Responsibilities
Prepare data science business cases while working with domain experts and customers. Support defining the AI strategy within a federal government agency.
Independently develops customized algorithms to solve analytical problems with incomplete data sets and implements automated processes for efficiently producing scale models.
Independently conducts statistical modelling, machine learning modelling and experiment design, and tests and validates predictive models.
Perform statistical analysis, data mining, temporal and pattern analysis, correlation of events, predictive modelling, and pattern recognition.
Document and visualize analytics both temporally and spatially, and present analytic results and uncertainty to decision makers.",Company - Public,Consulting,,1989,Data Science Specialist,$10+ billion (USD)
11,Business Services,Citi,10000+ Employees,"Irving, TX",4.1,"Organization: Corporate Functions/Research
Location: US Negotiable - New York, Boston, Chicago, Atlanta
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions — underpinned by the world’s largest delivery network — Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 505,000 people serving clients in more than 200 cities with operations across 51 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.
People in the Corporate Function contribute to the running of Accenture as a high- performance business through specialization within a specific functional area, and grow into internally focused roles by deepening their skills and/or developing new skills within an internal functional area.",Company - Public,Consulting,,1989,"Entry-Level Data Positions (Data Engineer, Machine Learning & Visualization)",$10+ billion (USD)
12,Business Services,Health Data Analytics Institute,10000+ Employees,"Dedham, MA",4.1,"Organization: Corporate Functions/Research
Location: US Negotiable - New York, Boston, Chicago, Atlanta
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions — underpinned by the world’s largest delivery network — Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 505,000 people serving clients in more than 200 cities with operations across 51 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.
People in the Corporate Function contribute to the running of Accenture as a high- performance business through specialization within a specific functional area, and grow into internally focused roles by deepening their skills and/or developing new skills within an internal functional area.",Company - Public,Consulting,,1989,"Data Analyst, Population Health",$10+ billion (USD)
13,Unknown / Non-Applicable,Digital Trike,,"South Jordan, UT",,"Organization: Corporate Functions/Research
Location: US Negotiable - New York, Boston, Chicago, Atlanta
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions — underpinned by the world’s largest delivery network — Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 505,000 people serving clients in more than 200 cities with operations across 51 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.
People in the Corporate Function contribute to the running of Accenture as a high- performance business through specialization within a specific functional area, and grow into internally focused roles by deepening their skills and/or developing new skills within an internal functional area.",IT Services,Information Technology,,Company - Private,Data Science & Analytics,
14,Unknown / Non-Applicable,Sam's Club,1 to 50 Employees,"Dallas, TX",,"As much as you’re a master at rigorous mining, culling and interpretation of big data, you’re equally at task to glean small but meaningful data insights and making it pop in multiple data visualization platforms.",IT Services,Information Technology,,Company - Private,Data Scientist,
15,Unknown / Non-Applicable,FAAZ Consulting,1 to 50 Employees,"Washington, DC",,"As much as you’re a master at rigorous mining, culling and interpretation of big data, you’re equally at task to glean small but meaningful data insights and making it pop in multiple data visualization platforms.",IT Services,Information Technology,,Company - Private,SAS Data Scientist,
16,Unknown / Non-Applicable,FedEx Services,1 to 50 Employees,Virginia,,"As much as you’re a master at rigorous mining, culling and interpretation of big data, you’re equally at task to glean small but meaningful data insights and making it pop in multiple data visualization platforms.",IT Services,Information Technology,,Company - Private,Data Analyst,
17,Transportation & Logistics,FinTek Solutions LLC,10000+ Employees,"Tampa, FL",4.1,"Company: FedEx Services
Job Title: Data Analyst
Job Requisition Number: RC389493
Category: Decision Science & Analytics
Pay Type: Exempt
Locations:
Remote, Tennessee 38120
United States

Oklahoma City, Oklahoma 73105
United States

Compensation: Monthly Salary $4504.12 - $6688.92
The estimate displayed represents the typical salary range or starting rate of candidates hired in Colorado. Factors that may be used to determine your actual salary may include your specific skills, your remote work location (for remote postings), how many years of experience you have, and comparison to other employees already in this role.",Company - Public,Logistics & Supply Chain,Employer Provided Salary:$54K - $80K,2000,Data Science,$1 to $5 million (USD)
18,Transportation & Logistics,"VIZIO, Inc.",10000+ Employees,"Denver, CO",4.1,"Company: FedEx Services
Job Title: Data Analyst
Job Requisition Number: RC389493
Category: Decision Science & Analytics
Pay Type: Exempt
Locations:
Remote, Tennessee 38120
United States

Oklahoma City, Oklahoma 73105
United States

Compensation: Monthly Salary $4504.12 - $6688.92
The estimate displayed represents the typical salary range or starting rate of candidates hired in Colorado. Factors that may be used to determine your actual salary may include your specific skills, your remote work location (for remote postings), how many years of experience you have, and comparison to other employees already in this role.",Company - Public,Logistics & Supply Chain,Employer Provided Salary:$54K - $80K,2000,Data Scientist,$1 to $5 million (USD)
19,,Pinnacle Group,,"Memphis, TN",,"Job Description
Visas accepted- H1B, H4-EAD, GC, GC-EAD, US Citizens, OPT
Must have :
TensorFlow 2.0 and above, TF sequential and Functional model,
TF activations functions : Must have hands on knowledge of RELU, Softmax, Tanh, Sigmoid
TF keras losses : Must have hands on MeanAbsxx, MeanSqxx and CrossEntropy
Keras, Keras functional API
Python - deep hands on knowledge of pandas and scikit
SQL , Stored procedures, Views
Linux : Reasonable working knowledge required, including basic shell scripting.
Nice to have : SQL Alchemy, CX_Oracle or similar direct to pandas integration with SQL. Tableau , Looker",,,,,Data Engineer (Remote 667-1),
20,Information Technology,Brilliant,501 to 1000 Employees,"Lake Forest, IL",,"Title: Data Engineer
Location: 100% Remote
Rate: $55/hr
Contract: Minimum 1 year

Must Have:
SQL
Hive
Python
Light UNIX",Company - Public,Computer Hardware & Software,Employer Provided Salary:$129K,2002,Data Visualization Analyst,$2 to $5 billion (USD)
21,Information Technology,Facebook,501 to 1000 Employees,"Menlo Park, CA",3.8,"About the Team:
VIZIO advertising technology solutions is looking for a highly talented and motivated Data Scientist to help deliver our strategic initiatives in our advertising technology team. We look for people who can effectively partner with Program & Product Management to deliver easy, effective, and insightful analytics. The position can be held in one of several offices (San Francisco, Dallas, Denver, Irvine, New York). We are a close-knit team, focusing on challenging problems that make a difference to our business. We concentrate on high-impact, high-value development, and in this role, you’ll be lynchpin in delivering the software that helps us grow
We are looking for someone who is versatile, methodical, excited by modern technology and enjoys focusing on tackling software challenges.
What You Will Do:
Experiment with different machine learning algorithms and techniques for pattern analysis, statistical modeling, feature engineering and predictive model building
Prototype Machine Learning solutions
About You:
About VIZIO:",Company - Public,Computer Hardware & Software,Employer Provided Salary:$129K,2002,"Data Scientist, Analytics (University Grad)",$2 to $5 billion (USD)
22,Information Technology,Treeco Group,501 to 1000 Employees,"Chicago, IL",3.8,"About the Team:
VIZIO advertising technology solutions is looking for a highly talented and motivated Data Scientist to help deliver our strategic initiatives in our advertising technology team. We look for people who can effectively partner with Program & Product Management to deliver easy, effective, and insightful analytics. The position can be held in one of several offices (San Francisco, Dallas, Denver, Irvine, New York). We are a close-knit team, focusing on challenging problems that make a difference to our business. We concentrate on high-impact, high-value development, and in this role, you’ll be lynchpin in delivering the software that helps us grow
We are looking for someone who is versatile, methodical, excited by modern technology and enjoys focusing on tackling software challenges.
What You Will Do:
Experiment with different machine learning algorithms and techniques for pattern analysis, statistical modeling, feature engineering and predictive model building
Prototype Machine Learning solutions
About You:
About VIZIO:",Company - Public,Computer Hardware & Software,Employer Provided Salary:$129K,2002,Data Engineer,$2 to $5 billion (USD)
23,,John Deere,,"Moline, IL",,"We’re looking for an experienced Data Engineer with a strong background in statistics and SQL, Python and/or R skills to join our team! Do you want a role where you can really make a difference? Then this role could be perfect for you! In this role you will apply your deep expertise in analytics and data science techniques to enable better customer understanding and inform business decisioning for us.
Key Responsibilities
Contribute to a shared analytics architecture and plan for machine decisioning, claims optimisation and manage components of delivery to that plan.
Elicit and understand stakeholder needs before scoping and developing analytical methodologies to generate training data and build advanced analytical models and solutions with a view to activating them within business processes.
Adopt a product management approach to deliver valuable improvements often, continuously improve and meet stakeholder needs.",,,Employer Provided Salary:$23 - $31 Per Hour,,Data Science & Analytics Development Program 2021b,
24,,Revelio Labs,,"New York, NY",,"We’re looking for an experienced Data Engineer with a strong background in statistics and SQL, Python and/or R skills to join our team! Do you want a role where you can really make a difference? Then this role could be perfect for you! In this role you will apply your deep expertise in analytics and data science techniques to enable better customer understanding and inform business decisioning for us.
Key Responsibilities
Contribute to a shared analytics architecture and plan for machine decisioning, claims optimisation and manage components of delivery to that plan.
Elicit and understand stakeholder needs before scoping and developing analytical methodologies to generate training data and build advanced analytical models and solutions with a view to activating them within business processes.
Adopt a product management approach to deliver valuable improvements often, continuously improve and meet stakeholder needs.",,,Employer Provided Salary:$23 - $31 Per Hour,,"Data Engineer, Dashboard",
25,,Toyota,,"Plano, TX",,"Who we are:
Revelio Labs provides workforce intelligence. We absorb and standardize hundreds of millions of public employment records to create the world’s first universal HR database, allowing us to see current workforce composition and trends of any company. Our customers include investors, corporate strategists, HR teams, and governments.
What we're looking for:
Revelio Labs is looking for a Data Engineer with strong software engineering skills to work on a variety of novel problems related to infrastructure platform building, data analysis, and process automation. We prefer candidates who are self motivated and can think creatively about different ways to approach a problem.
Experience:
Master’s Degree in Computer Science or 2+ years of industry experience",,,Employer Provided Salary:$90K - $140K,,Junior Data Scientist,
26,$10 to $25 million (USD),Ars Quanta,1 to 50 Employees,"Seattle, WA",,,Consulting,Business Services,,Company - Private,Data Scientists,
27,$10 to $25 million (USD),Dell Technologies,1 to 50 Employees,"Round Rock, TX",5.0,We are always looking for Data Scientists who want to work on challenging and interesting projects in a variety of industries.,Consulting,Business Services,,Company - Private,Jr Data Scientist-AI/ML (Remote-United States),
28,$10 to $25 million (USD),Cuker,1 to 50 Employees,"Carlsbad, CA",5.0,We are always looking for Data Scientists who want to work on challenging and interesting projects in a variety of industries.,Consulting,Business Services,,Company - Private,Data Science & Analytics Specialist,
29,$10 to $25 million (USD),Pivosys Inc.,1 to 50 Employees,"Sacramento, CA",5.0,We are always looking for Data Scientists who want to work on challenging and interesting projects in a variety of industries.,Consulting,Business Services,,Company - Private,Python Developer -With Data Science Experience,
30,Information Technology,CORMAC,1 to 50 Employees,United States,3.2,"Job position/level: Junior Data Scientist / Entry Level Data Scientist
Job Location: Anywhere from USA
Fulltime/Part-time: Fulltime/Part-time
Month/Year: September 2020

CORMAC is transforming the Healthcare industry using Data and Analytics. CORMAC is looking for an enthusiastic and innovative candidate to join our Data Science team. CORMAC is seeking an Entry Level Data Scientist to join our Data Science Practice. A qualified candidate should be able to provide Data Science support for our products, prototypes and projects.",Company - Private,Computer Hardware & Software,$24 - $48 Per Hour(Employer est.),2002,Junior Data Scientist / Entry Level Data Scientist,Less than $1 million (USD)
31,Information Technology,Interview Query,1 to 50 Employees,Remote,3.2,"Job position/level: Junior Data Scientist / Entry Level Data Scientist
Job Location: Anywhere from USA
Fulltime/Part-time: Fulltime/Part-time
Month/Year: September 2020

CORMAC is transforming the Healthcare industry using Data and Analytics. CORMAC is looking for an enthusiastic and innovative candidate to join our Data Science team. CORMAC is seeking an Entry Level Data Scientist to join our Data Science Practice. A qualified candidate should be able to provide Data Science support for our products, prototypes and projects.",Company - Private,Computer Hardware & Software,$24 - $48 Per Hour(Employer est.),2002,Data Science Content Developer,Less than $1 million (USD)
32,Manufacturing,Nike,10000+ Employees,"Beaverton, OR",4.1,"Interview Query is a small data science startup completely remote! Our mission is to help anyone in the data science field pass their interviews and land a data science job with our data science preparation materials.
To help fuel our next phase of growth, we are seeking a high-energy and ambitious Data Science Content Developer to help us with creating learning materials. As a key hire in product and operations, this person's responsibility will be to work on sharing their expertise in data science, analytics, and machine learning to our broader customer base.
You will have the opportunity to work with the founders towards learning how to build a business and grow a business while writing to a target technical demographic. You will have a large scope of responsibility with the ability to see the results of your work reflected immediately. This is a great experience for anyone interested in entrepreneurship.
This is a part time role and is extremely flexible.",Company - Public,Consumer Products Manufacturing,$24 - $48 Per Hour(Employer est.),1972,"Director, Communications Algorithms Data Science",$10+ billion (USD)
33,Manufacturing,CVS Health,10000+ Employees,"New York, NY",4.1,"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Who are we looking for
We are looking for an experienced leader for our Communications Algorithms Data Science team. The Director of Communications Algorithms Data Science will lead a team of data scientists who are responsible for powering science capabilities (statistical modeling, machine learning including bandits, deep learning) across Nike’s marketing and messaging ecosystem! This includes implementing data science algorithms that ensure messages are relevant and timely for individual consumers to maximize Nike’s marketing and membership efforts. We are seeking a leader who can develop a results-oriented roadmap, collaborate with engineering and product partners, and mentor and guide their team to push the edges of data science.
What will you work on
Who will you work with",Company - Public,Consumer Products Manufacturing,$24 - $48 Per Hour(Employer est.),1972,Data Science Analyst,$10+ billion (USD)
34,Manufacturing,Salesforce,10000+ Employees,"Seattle, WA",4.1,"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Who are we looking for
We are looking for an experienced leader for our Communications Algorithms Data Science team. The Director of Communications Algorithms Data Science will lead a team of data scientists who are responsible for powering science capabilities (statistical modeling, machine learning including bandits, deep learning) across Nike’s marketing and messaging ecosystem! This includes implementing data science algorithms that ensure messages are relevant and timely for individual consumers to maximize Nike’s marketing and membership efforts. We are seeking a leader who can develop a results-oriented roadmap, collaborate with engineering and product partners, and mentor and guide their team to push the edges of data science.
What will you work on
Who will you work with",Company - Public,Consumer Products Manufacturing,$24 - $48 Per Hour(Employer est.),1972,Data Science Engineer,$10+ billion (USD)
35,Manufacturing,Siemens,10000+ Employees,"Ice, KY",4.1,"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Who are we looking for
We are looking for an experienced leader for our Communications Algorithms Data Science team. The Director of Communications Algorithms Data Science will lead a team of data scientists who are responsible for powering science capabilities (statistical modeling, machine learning including bandits, deep learning) across Nike’s marketing and messaging ecosystem! This includes implementing data science algorithms that ensure messages are relevant and timely for individual consumers to maximize Nike’s marketing and membership efforts. We are seeking a leader who can develop a results-oriented roadmap, collaborate with engineering and product partners, and mentor and guide their team to push the edges of data science.
What will you work on
Who will you work with",Company - Public,Consumer Products Manufacturing,$24 - $48 Per Hour(Employer est.),1972,GDC Data Catalog DevOps Professional,$10+ billion (USD)
36,Health Care,Data Xpander,10000+ Employees,United States,3.0,"It’s a new day in healthcare!

Combining CVS Health and Aetna was a ground-breaking moment for our company and our industry, establishing CVS Health as the nation’s premier health innovation company. Through our health services, insurance plans and community pharmacists, we’re pioneering a bold new approach to total health.

Looking for opportunities to use cutting edge technologies analyzing petabytes of data in a world class Hadoop cluster? Interested in generating analytical insights that inform provider networks and engagement strategies that support members on their individualized health and wellness journey? Aetna's Provider & Network Analytics team delivers strategically impactful programs and tools that expand convenient access to high-quality and affordable care for all members across multiple channels across all stages of life.

At Aetna, we’re pioneering a total approach to health and wellness. As a Data Analyst on the Analytics & Behavior Change team, you’ll build industry-leading analytics, data, and technology platforms to help reimagine health care. This position will play a critical role within a cross-functional team, delivering powerful solutions that inform network strategy and design, improve network performance and provider engagement, develop new provider offerings, and enhance consumer experience.

You will be part of a fast-paced, innovative, collaborative team, helping solve problems, drive impact, and deliver key insights to our customers by leveraging innovations in data science, machine & deep learning, and predictive modeling techniques. You will derive meaning from data and deploy robust solutions through provider-directed engagement channels (e.g., digital) that helps consumers identify affordable care, when they need it, and with whom.

Fundamental Components

Participates in the development, validation and delivery of algorithms, statistical models and reporting tools. Solves basic analytical problems.

Uses knowledge of basic big data concepts to contribute to existing analytics projects and initiatives.

Uses existing procedures and precedents to solve straightforward problems.

Familiarity with big data concepts. Works with manager and members of a single team.

Presents recommendations to manager of team.

With direction, performs analyses of structured and unstructured data to solve basic business problems utilizing advanced statistical techniques and mathematical analyses.

Uses data visualization techniques to effectively communicate analytical results and support business decisions.

Recommends additional sources of data for improvements.

Documents data gathering and processing and provides a detailed set of results and analytical metrics.


0 - 1 year of business experience leading analyses and initiatives with track record of business impact.

0-1 year total business experience. May be directly out of undergraduate program.

0 - 1 year of experience strategy consulting or on strategy teams in large companies

0 - 1 year experience programming using R, Hadoop, or Python

Experience in SAS or SQL or other programming languages.


Healthcare sector experience preferred

Demonstrates strong ability to communicate technical concepts and implications to business partners.

Anticipates and prevents problems and roadblocks before they occur.


Bachelor's degree in quantitative field, or an equivalent combination of formal education and experience.


At CVS Health, we are joined in a common purpose: helping people on their path to better health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient-focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.",Company - Public,Health Care Services & Hospitals,$24 - $48 Per Hour(Employer est.),1963,Data Scientist,$10+ billion (USD)
37,Health Care,Amazon.com Services LLC,10000+ Employees,"Boulder, CO",3.0,"It’s a new day in healthcare!

Combining CVS Health and Aetna was a ground-breaking moment for our company and our industry, establishing CVS Health as the nation’s premier health innovation company. Through our health services, insurance plans and community pharmacists, we’re pioneering a bold new approach to total health.

Looking for opportunities to use cutting edge technologies analyzing petabytes of data in a world class Hadoop cluster? Interested in generating analytical insights that inform provider networks and engagement strategies that support members on their individualized health and wellness journey? Aetna's Provider & Network Analytics team delivers strategically impactful programs and tools that expand convenient access to high-quality and affordable care for all members across multiple channels across all stages of life.

At Aetna, we’re pioneering a total approach to health and wellness. As a Data Analyst on the Analytics & Behavior Change team, you’ll build industry-leading analytics, data, and technology platforms to help reimagine health care. This position will play a critical role within a cross-functional team, delivering powerful solutions that inform network strategy and design, improve network performance and provider engagement, develop new provider offerings, and enhance consumer experience.

You will be part of a fast-paced, innovative, collaborative team, helping solve problems, drive impact, and deliver key insights to our customers by leveraging innovations in data science, machine & deep learning, and predictive modeling techniques. You will derive meaning from data and deploy robust solutions through provider-directed engagement channels (e.g., digital) that helps consumers identify affordable care, when they need it, and with whom.

Fundamental Components

Participates in the development, validation and delivery of algorithms, statistical models and reporting tools. Solves basic analytical problems.

Uses knowledge of basic big data concepts to contribute to existing analytics projects and initiatives.

Uses existing procedures and precedents to solve straightforward problems.

Familiarity with big data concepts. Works with manager and members of a single team.

Presents recommendations to manager of team.

With direction, performs analyses of structured and unstructured data to solve basic business problems utilizing advanced statistical techniques and mathematical analyses.

Uses data visualization techniques to effectively communicate analytical results and support business decisions.

Recommends additional sources of data for improvements.

Documents data gathering and processing and provides a detailed set of results and analytical metrics.


0 - 1 year of business experience leading analyses and initiatives with track record of business impact.

0-1 year total business experience. May be directly out of undergraduate program.

0 - 1 year of experience strategy consulting or on strategy teams in large companies

0 - 1 year experience programming using R, Hadoop, or Python

Experience in SAS or SQL or other programming languages.


Healthcare sector experience preferred

Demonstrates strong ability to communicate technical concepts and implications to business partners.

Anticipates and prevents problems and roadblocks before they occur.


Bachelor's degree in quantitative field, or an equivalent combination of formal education and experience.


At CVS Health, we are joined in a common purpose: helping people on their path to better health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient-focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.",Company - Public,Health Care Services & Hospitals,$24 - $48 Per Hour(Employer est.),1963,SDE- Measurement & Data Science- 2021,$10+ billion (USD)
38,Information Technology,Source Enterprises,10000+ Employees,"New York, NY",3.8,"2+ years of non-internship professional software development experience
Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design
1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.
Are you passionate about using Big Data to build customer trust and grow new business? Global advertisers rely on our team's performance insights to drive future investment in Amazon's Advertising Platform and improve the relevance of ads shown to customers. We’re looking for strong Software Engineers that can combine open source technologies such as Hbase, Spark, Hadoop and Presto, as well as AWS services like DynamoDB, Kinesis, Elastic Map Reduce and Redshift to build the next generation of our analytics and visualization platform. If this sounds interesting we’d love to hear from you!
Amazon is well positioned to grow its share of a fast growing online advertising industry due to its unique assets - e-commerce data, service oriented architecture, and startup culture. Be part of a team of industry leading experts that builds and operates one of the largest big data analytics platform at Amazon. Amazon is applying the latest machine learning and big data technologies available to change the way marketers purchase, track, measure, and optimize their advertising spend. We apply these technologies on terabytes of data (over 10B new events per day) and operate clusters that push scalability limits of the existing technologies. We seek to measure every possible signal indicating impact of advertising to provide the most objective result of marketing spends.
This role will involve designing and developing software products that impact many areas of our business. The individual in this role will have responsibility help define requirements, create software designs, implement code to these specifications, provide thorough unit and integration testing, and support products while deployed and used by our stakeholders.

We are hiring in multiple locations, Boulder, Arlington, and Toronto.

The pay range for this position in Colorado is $122,200 - 160,000/yr; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site. Amazon is committed to a diverse and inclusive workplace.

Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us. #madsjob #sspajobs",Company - Public,Internet,$24 - $48 Per Hour(Employer est.),1994,Data Scientist,$10+ billion (USD)
