,Founded,Revenue,Location,Job Title,Rating,Company Name,Size,Type of Ownership,Industry,Sector,Salary Estimate,Job Description
11,Company - Private,,"Dallas, TX",Data Scientist,2.4,Sam's Club,201 to 500 Employees,Unknown / Non-Applicable,,,Employer Provided Salary:$87 - $106 Per Hour,"Experience using Python
Experience with probabilistic modelling, clustering and deep learning frameworks
Experience with SQL and NoSQL
SAS Data Scientist Certification
Job Type: Full-time
Pay: $90.00 - $110.00 per hour
License/Certification:
SAS Data Scientist Certification (Preferred)"
12,1989,$10+ billion (USD),"Atlanta Central City Post Offi, GA",Data Science Specialist,3.3,Accenture,10000+ Employees,Company - Public,Consulting,Business Services,,"Experience using Python
Experience with probabilistic modelling, clustering and deep learning frameworks
Experience with SQL and NoSQL
SAS Data Scientist Certification
Job Type: Full-time
Pay: $90.00 - $110.00 per hour
License/Certification:
SAS Data Scientist Certification (Preferred)"
13,1989,$10+ billion (USD),"Dedham, MA","Data Analyst, Population Health",4.1,Health Data Analytics Institute,10000+ Employees,Company - Public,Consulting,Business Services,,"Organization: Corporate Functions/Research
Location: US Negotiable - New York, Boston, Chicago, Atlanta
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions — underpinned by the world’s largest delivery network — Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 505,000 people serving clients in more than 200 cities with operations across 51 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.
People in the Corporate Function contribute to the running of Accenture as a high- performance business through specialization within a specific functional area, and grow into internally focused roles by deepening their skills and/or developing new skills within an internal functional area."
14,1989,$10+ billion (USD),"Denver, CO",Data Scientist,4.1,"VIZIO, Inc.",10000+ Employees,Company - Public,Consulting,Business Services,,"Organization: Corporate Functions/Research
Location: US Negotiable - New York, Boston, Chicago, Atlanta
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions — underpinned by the world’s largest delivery network — Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 505,000 people serving clients in more than 200 cities with operations across 51 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.
People in the Corporate Function contribute to the running of Accenture as a high- performance business through specialization within a specific functional area, and grow into internally focused roles by deepening their skills and/or developing new skills within an internal functional area."
15,2002,$2 to $5 billion (USD),"Irving, TX","Entry-Level Data Positions (Data Engineer, Machine Learning & Visualization)",3.8,Citi,501 to 1000 Employees,Company - Public,Computer Hardware & Software,Information Technology,Employer Provided Salary:$129K,"About the Team:
VIZIO advertising technology solutions is looking for a highly talented and motivated Data Scientist to help deliver our strategic initiatives in our advertising technology team. We look for people who can effectively partner with Program & Product Management to deliver easy, effective, and insightful analytics. The position can be held in one of several offices (San Francisco, Dallas, Denver, Irvine, New York). We are a close-knit team, focusing on challenging problems that make a difference to our business. We concentrate on high-impact, high-value development, and in this role, you’ll be lynchpin in delivering the software that helps us grow
We are looking for someone who is versatile, methodical, excited by modern technology and enjoys focusing on tackling software challenges.
What You Will Do:
Experiment with different machine learning algorithms and techniques for pattern analysis, statistical modeling, feature engineering and predictive model building
Prototype Machine Learning solutions
About You:
About VIZIO:"
16,,,"Tampa, FL",Data Science,,FinTek Solutions LLC,,,,,,"Citi Consumer Technology is seeking dozens of talented entry-level engineers for its Data & Analytics organization, based in Dallas, Texas, and Jacksonville, Fla.
We work with a variety of technologies and are hiring across multiple teams, including Visualization, Data Engineering & Machine Learning Engineering. You’ll find more information below on our roles, our interview process, and our commitment to your growth and development.
Applications are accepted year-round, with multiple start dates organized around orientation trainings.
Our Organization
The best way to think about Citi Consumer Technology is that we’re a tech company inside a bank. We develop software that has a variety of end users: mobile apps and websites that help our customers manage their money, desktop software that allows our customer service agents to provide help and advice, and internal databases, microservices or tools that teams at Citi rely upon every day.
Technology
Digital Software Engineering"
17,,,"Lake Forest, IL",Data Visualization Analyst,,Brilliant,,,,,,"Job Description
Visas accepted- H1B, H4-EAD, GC, GC-EAD, US Citizens, OPT
Must have :
TensorFlow 2.0 and above, TF sequential and Functional model,
TF activations functions : Must have hands on knowledge of RELU, Softmax, Tanh, Sigmoid
TF keras losses : Must have hands on MeanAbsxx, MeanSqxx and CrossEntropy
Keras, Keras functional API
Python - deep hands on knowledge of pandas and scikit
SQL , Stored procedures, Views
Linux : Reasonable working knowledge required, including basic shell scripting.
Nice to have : SQL Alchemy, CX_Oracle or similar direct to pandas integration with SQL. Tableau , Looker"
18,,,"South Jordan, UT",Data Science & Analytics,,Digital Trike,,,,,,"Job Description
Visas accepted- H1B, H4-EAD, GC, GC-EAD, US Citizens, OPT
Must have :
TensorFlow 2.0 and above, TF sequential and Functional model,
TF activations functions : Must have hands on knowledge of RELU, Softmax, Tanh, Sigmoid
TF keras losses : Must have hands on MeanAbsxx, MeanSqxx and CrossEntropy
Keras, Keras functional API
Python - deep hands on knowledge of pandas and scikit
SQL , Stored procedures, Views
Linux : Reasonable working knowledge required, including basic shell scripting.
Nice to have : SQL Alchemy, CX_Oracle or similar direct to pandas integration with SQL. Tableau , Looker"
19,,,"Chicago, IL",Data Engineer,,Treeco Group,,,,,Employer Provided Salary:$23 - $31 Per Hour,"Job Description
Visas accepted- H1B, H4-EAD, GC, GC-EAD, US Citizens, OPT
Must have :
TensorFlow 2.0 and above, TF sequential and Functional model,
TF activations functions : Must have hands on knowledge of RELU, Softmax, Tanh, Sigmoid
TF keras losses : Must have hands on MeanAbsxx, MeanSqxx and CrossEntropy
Keras, Keras functional API
Python - deep hands on knowledge of pandas and scikit
SQL , Stored procedures, Views
Linux : Reasonable working knowledge required, including basic shell scripting.
Nice to have : SQL Alchemy, CX_Oracle or similar direct to pandas integration with SQL. Tableau , Looker"
20,,,"Sacramento, CA",Python Developer -With Data Science Experience,,Pivosys Inc.,,,,,Employer Provided Salary:$23 - $31 Per Hour,"We’re looking for an experienced Data Engineer with a strong background in statistics and SQL, Python and/or R skills to join our team! Do you want a role where you can really make a difference? Then this role could be perfect for you! In this role you will apply your deep expertise in analytics and data science techniques to enable better customer understanding and inform business decisioning for us.
Key Responsibilities
Contribute to a shared analytics architecture and plan for machine decisioning, claims optimisation and manage components of delivery to that plan.
Elicit and understand stakeholder needs before scoping and developing analytical methodologies to generate training data and build advanced analytical models and solutions with a view to activating them within business processes.
Adopt a product management approach to deliver valuable improvements often, continuously improve and meet stakeholder needs."
21,Company - Public,,"New York, NY","Data Engineer, Dashboard",,Revelio Labs,1 to 50 Employees,Unknown / Non-Applicable,,,Employer Provided Salary:$34 - $54 Per Hour,"Python Developer - With Data Science Experience
C2C
Position is with Cognizant and so should not have a submission with them in the last 3 months. if you applied, don't apply now.
Job Type: Full-time
Pay: $35.00 - $56.00 per hour
Schedule:
8 hour shift"
22,1843,$10+ billion (USD),"Ice, KY",GDC Data Catalog DevOps Professional,,Siemens,10000+ Employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,,"Python Developer - With Data Science Experience
C2C
Position is with Cognizant and so should not have a submission with them in the last 3 months. if you applied, don't apply now.
Job Type: Full-time
Pay: $35.00 - $56.00 per hour
Schedule:
8 hour shift"
23,1843,$10+ billion (USD),Virginia,Data Analyst,4.1,FedEx Services,10000+ Employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,,"The Data Catalog DevOps Professional provides support for the product owner delivering various data catalog topics in the data governance and management area.
Our objective is to enable the owners, stewards and business stakeholders to organize, search, discover, steward, model, shop, trust and understand enterprise data and analytics to drive digitalization in the company.

Your tasks and responsibilities:
You will consult and create custom objects Informatica Axon and EDC solution
You will develop custom Rest API scripts and integration based on use case requirements and to integrate various kinds of systems and data objects and workflows
You will support to configure and maintain enterprise use case specific templates various data and analytical objects including data dictionary, data domains, business glossary, business datasets, rules, tagging, etc."
24,1843,,"Memphis, TN",Data Engineer (Remote 667-1),4.1,Pinnacle Group,10000+ Employees,Company - Public,Electrical & Electronic Manufacturing,,Employer Provided Salary:$53 Per Hour,"The Data Catalog DevOps Professional provides support for the product owner delivering various data catalog topics in the data governance and management area.
Our objective is to enable the owners, stewards and business stakeholders to organize, search, discover, steward, model, shop, trust and understand enterprise data and analytics to drive digitalization in the company.

Your tasks and responsibilities:
You will consult and create custom objects Informatica Axon and EDC solution
You will develop custom Rest API scripts and integration based on use case requirements and to integrate various kinds of systems and data objects and workflows
You will support to configure and maintain enterprise use case specific templates various data and analytical objects including data dictionary, data domains, business glossary, business datasets, rules, tagging, etc."
25,1989,,"Round Rock, TX",Jr Data Scientist-AI/ML (Remote-United States),1.5,Dell Technologies,51 to 200 Employees,Company - Public,$25 to $50 million (USD),,Employer Provided Salary:$53 Per Hour,"Title: Data Engineer
Location: 100% Remote
Rate: $55/hr
Contract: Minimum 1 year

Must Have:
SQL
Hive
Python
Light UNIX"
26,,,"Seattle, WA",Data Scientists,1.5,Ars Quanta,51 to 200 Employees,Consulting,Business Services,$10 to $25 million (USD),,"Title: Data Engineer
Location: 100% Remote
Rate: $55/hr
Contract: Minimum 1 year

Must Have:
SQL
Hive
Python
Light UNIX"
27,Company - Private,,"Menlo Park, CA","Data Scientist, Analytics (University Grad)",5.0,Facebook,1 to 50 Employees,Consulting,Business Services,$10 to $25 million (USD),,We are always looking for Data Scientists who want to work on challenging and interesting projects in a variety of industries.
28,Company - Private,$10+ billion (USD),"Seattle, WA",Data Science Engineer,5.0,Salesforce,1 to 50 Employees,Company - Public,Computer Hardware & Software,Information Technology,Employer Provided Salary:$82K,We are always looking for Data Scientists who want to work on challenging and interesting projects in a variety of industries.
29,1999,$10+ billion (USD),Remote,Data Science Content Developer,4.4,Interview Query,10000+ Employees,Company - Public,Computer Hardware & Software,Information Technology,Employer Provided Salary:$82K,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
We're hiring across teams, which include: Analytics, Commerce, Einstein, IoT, Mulesoft, Search Relevance, Security, Service, Service Protection team, Marketing Cloud

In school, or graduated within the last 12 months? Please visit FutureForce for opportunities

Salesforce is looking for an exceptional engineer ideally with a dual background in machine learning and software engineering to help us take on one of the world’s most extensive data sets and transform it into amazing products that feel like magic. You will work on cutting-edge AI applications and products. Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.










Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records."
30,1994,$10+ billion (USD),"Dallas, TX",Data Scientist,3.3,Walmart,10000+ Employees,Company - Public,General Merchandise & Superstores,Retail,$90K (Employer est.),"Data Scientists in Global Tech – Sam’s Technology are responsible for analyzing large data sets to develop custom models and algorithms to help with merchandising and operational projects, such as demand forecasting, assortment planning, price optimization and space planning. Data Scientists work as a member in project teams to provide analytical support, prescriptive models, and optimization solutions in Sam’s Club. As a Data Scientist, you are responsible for building large data sets from multiple sources, build algorithms for predicting future data characteristics and suggest optimal decision to our business stakeholders. Those algorithms will be tested, validated, and converted into applications. You will have a unique opportunity to expand your domain knowledge on ML/AI use cases in retail, research new trends in the industry and put them into practice.
Key Responsibilities
Understands and translates business and functional needs into AI/ML problem statements."
31,1994,$10+ billion (USD),"Irving, TX",Data Scientist,3.3,veritis group inc,10000+ Employees,Company - Public,General Merchandise & Superstores,Retail,$90K (Employer est.),"Data Scientists in Global Tech – Sam’s Technology are responsible for analyzing large data sets to develop custom models and algorithms to help with merchandising and operational projects, such as demand forecasting, assortment planning, price optimization and space planning. Data Scientists work as a member in project teams to provide analytical support, prescriptive models, and optimization solutions in Sam’s Club. As a Data Scientist, you are responsible for building large data sets from multiple sources, build algorithms for predicting future data characteristics and suggest optimal decision to our business stakeholders. Those algorithms will be tested, validated, and converted into applications. You will have a unique opportunity to expand your domain knowledge on ML/AI use cases in retail, research new trends in the industry and put them into practice.
Key Responsibilities
Understands and translates business and functional needs into AI/ML problem statements."
32,,,"Austin, TX",Data Engineer,,"IdentifyUp, Inc.",,,,,$90K (Employer est.),"Data Scientist
12months- Irving TX(Remote for now)
provides their expertise to a team of data engineers, data scientists, and ml engineers to help develop, design, and implement data-driven services to improve Client’s eCommerce platform.
To accomplish this, the position will require extensive knowledge of data analytics and modeling to ensure that best practices are used when developing these initiatives.
Due to the variety of areas this team will execute within, the Data Scientist may need to research approaches/concepts and translate that information into a valid solution.
ESSENTIAL JOB DUTIES AND RESPONSIBILITIES*"
33,,,"Moline, IL",Data Science & Analytics Development Program 2021b,,John Deere,,,,,$90K (Employer est.),"Senior Data Engineer
Our Data Engineering team is looking for a senior level software engineering professional with experience working on and developing large-scale data processing systems. You’ll work with project management teams along with business and technical stakeholders to define actionable business value requirements in order to provide solutions that balance time-to-market outcomes for a geographically diverse environment.
In addition to the development of data-driven product responsibilities, you’ll work closely with data science on building data pipelines; having an opportunity to play detective with data analysis to solve big-data puzzles.
We’re a global company that connects advertisers with the right publisher, offering at scale a full-stack programmatic solution. We do this by running algorithms on large sets of data, then we analyze it to make critical business decisions within milliseconds. We build high-frequency (1m queries per second), low latency transactional systems that power the advertising that funds all content creation across the web."
34,Company - Private,,"West Sacramento, CA",Data Scientist with statistics focus – entry level,,Envision,51 to 200 Employees,Advertising & Marketing,Business Services,Unknown / Non-Applicable,$90K (Employer est.),
35,Company - Private,,Remote,Python & Data Science Mentor,,Nestria,51 to 200 Employees,Advertising & Marketing,Business Services,Unknown / Non-Applicable,$90K (Employer est.),"Data Scientist with MS in Statistics or Biostatistics

No C2C, must be our W2 employee, will consider qualified OPT EAD

Must relocate to West Sacramento, CA after the pandemic

Required Qualifications:
MS in biostatistics or statistics.
Sophisticated programming skill in R, Python, and experience in SAS.
Good at a wide range of statistical techniques including, but not limited to, experimental design, general and generalized linear mixed models, multivariate statistics, non-parametric analysis, and statistics.
Working experience, including graduate research projects, in machine learning algorithms."
36,Company - Private,,United States,Junior Data Scientist / Entry Level Data Scientist,,CORMAC,51 to 200 Employees,Advertising & Marketing,Business Services,Unknown / Non-Applicable,$90K (Employer est.),"Data Scientist with MS in Statistics or Biostatistics

No C2C, must be our W2 employee, will consider qualified OPT EAD

Must relocate to West Sacramento, CA after the pandemic

Required Qualifications:
MS in biostatistics or statistics.
Sophisticated programming skill in R, Python, and experience in SAS.
Good at a wide range of statistical techniques including, but not limited to, experimental design, general and generalized linear mixed models, multivariate statistics, non-parametric analysis, and statistics.
Working experience, including graduate research projects, in machine learning algorithms."
37,,,"New York, NY",Data Analyst,,Dormify,,,,,$90K (Employer est.),
38,1972,$10+ billion (USD),"Beaverton, OR","Director, Communications Algorithms Data Science",,Nike,10000+ Employees,Company - Public,Consumer Products Manufacturing,Manufacturing,$90K (Employer est.),"Dormify is looking for a motivated and meticulous Data Analyst with expertise in reporting and business intelligence to help drive decision-making as we rapidly expand our footprint. You are a master of collecting and rigorously analyzing complex data sets, proactive at identifying both opportunities and areas of concern, and thrive in a high-energy, fast-paced environment. You are always searching for the “truth” in data and take pride in the completeness and accuracy of your work. You will be the second member of our Data Science and Analytics team. This is an excellent opportunity for a forward thinking, entrepreneurial Data Analyst to join a rapidly growing startup and help establish its Data Analytics team.
*
Responsibilities:
Contribute to the Analytics road map to define the initiatives to improve decision making across the organization"
39,1972,$10+ billion (USD),"Carlsbad, CA",Data Engineer,4.1,Amgenium LLC,10000+ Employees,Company - Public,Consumer Products Manufacturing,Manufacturing,$90K (Employer est.),"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Who are we looking for
We are looking for an experienced leader for our Communications Algorithms Data Science team. The Director of Communications Algorithms Data Science will lead a team of data scientists who are responsible for powering science capabilities (statistical modeling, machine learning including bandits, deep learning) across Nike’s marketing and messaging ecosystem! This includes implementing data science algorithms that ensure messages are relevant and timely for individual consumers to maximize Nike’s marketing and membership efforts. We are seeking a leader who can develop a results-oriented roadmap, collaborate with engineering and product partners, and mentor and guide their team to push the edges of data science.
What will you work on
Who will you work with"
40,,,"Plano, TX",Junior Data Scientist,,Toyota,,,,,$90K (Employer est.),"we are hiring Data Engineer for Carlsbad,CA location . EAD's ,USC/GC are eligible to apply. Submit resume only if you have relevant experience.
Job Description:
Strong Leadership in engaging and partnering with business stakeholders and driving the delivery of BI, Data Integration and Data Science Projects
Champion a data-driven culture and drive long-term business value creation through development of best-in-class analytics capabilities, enabled by high data integrity in a secure and scalable infrastructure
Integrious and Responsible for Scrum Team execution from both onsite and offshore resources and Committed to what needs to be done; inspires others; builds motivated, high performing teams; understands what motivates different people.
Great Management skill in Active Communication and flawless coordination of tasks for project executions and production support"
41,,,"Palo Alto, CA",Data Science - Product Analytics,,Nauto,,,,,$90K (Employer est.),"we are hiring Data Engineer for Carlsbad,CA location . EAD's ,USC/GC are eligible to apply. Submit resume only if you have relevant experience.
Job Description:
Strong Leadership in engaging and partnering with business stakeholders and driving the delivery of BI, Data Integration and Data Science Projects
Champion a data-driven culture and drive long-term business value creation through development of best-in-class analytics capabilities, enabled by high data integrity in a secure and scalable infrastructure
Integrious and Responsible for Scrum Team execution from both onsite and offshore resources and Committed to what needs to be done; inspires others; builds motivated, high performing teams; understands what motivates different people.
Great Management skill in Active Communication and flawless coordination of tasks for project executions and production support"
42,,,"New York, NY",Data Analyst,,Volant Trading,,,,,$90K (Employer est.),"we are hiring Data Engineer for Carlsbad,CA location . EAD's ,USC/GC are eligible to apply. Submit resume only if you have relevant experience.
Job Description:
Strong Leadership in engaging and partnering with business stakeholders and driving the delivery of BI, Data Integration and Data Science Projects
Champion a data-driven culture and drive long-term business value creation through development of best-in-class analytics capabilities, enabled by high data integrity in a secure and scalable infrastructure
Integrious and Responsible for Scrum Team execution from both onsite and offshore resources and Committed to what needs to be done; inspires others; builds motivated, high performing teams; understands what motivates different people.
Great Management skill in Active Communication and flawless coordination of tasks for project executions and production support"
43,1994,$10+ billion (USD),"Boulder, CO",SDE- Measurement & Data Science- 2021,,Amazon.com Services LLC,10000+ Employees,Company - Public,Internet,Information Technology,$90K (Employer est.),"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.
Who We're Looking For"
44,1994,$10+ billion (USD),"San Francisco, CA",Machine Learning Engineers,3.8,Sumner & Scott,10000+ Employees,Company - Public,Internet,Information Technology,$90K (Employer est.),"2+ years of non-internship professional software development experience
Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design
1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.
Are you passionate about using Big Data to build customer trust and grow new business? Global advertisers rely on our team's performance insights to drive future investment in Amazon's Advertising Platform and improve the relevance of ads shown to customers. We’re looking for strong Software Engineers that can combine open source technologies such as Hbase, Spark, Hadoop and Presto, as well as AWS services like DynamoDB, Kinesis, Elastic Map Reduce and Redshift to build the next generation of our analytics and visualization platform. If this sounds interesting we’d love to hear from you!
Amazon is well positioned to grow its share of a fast growing online advertising industry due to its unique assets - e-commerce data, service oriented architecture, and startup culture. Be part of a team of industry leading experts that builds and operates one of the largest big data analytics platform at Amazon. Amazon is applying the latest machine learning and big data technologies available to change the way marketers purchase, track, measure, and optimize their advertising spend. We apply these technologies on terabytes of data (over 10B new events per day) and operate clusters that push scalability limits of the existing technologies. We seek to measure every possible signal indicating impact of advertising to provide the most objective result of marketing spends.
This role will involve designing and developing software products that impact many areas of our business. The individual in this role will have responsibility help define requirements, create software designs, implement code to these specifications, provide thorough unit and integration testing, and support products while deployed and used by our stakeholders.

We are hiring in multiple locations, Boulder, Arlington, and Toronto.

The pay range for this position in Colorado is $122,200 - 160,000/yr; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site. Amazon is committed to a diverse and inclusive workplace.

Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us. #madsjob #sspajobs"
