,Salary Estimate,Sector,Rating,Company Name,Revenue,Job Title,Founded,Type of Ownership,Location,Size,Industry,Job Description
10,,Business Services,,First Soft Solutions [ Direct],$10+ billion (USD),Azure Data Engineer,1989,Company - Public,"Plano, TX",10000+ Employees,Consulting,"Responsibilities
Prepare data science business cases while working with domain experts and customers. Support defining the AI strategy within a federal government agency.
Independently develops customized algorithms to solve analytical problems with incomplete data sets and implements automated processes for efficiently producing scale models.
Independently conducts statistical modelling, machine learning modelling and experiment design, and tests and validates predictive models.
Perform statistical analysis, data mining, temporal and pattern analysis, correlation of events, predictive modelling, and pattern recognition.
Document and visualize analytics both temporally and spatially, and present analytic results and uncertainty to decision makers."
11,,Finance,3.9,Citi,$10+ billion (USD),"Entry-Level Data Positions (Data Engineer, Machine Learning & Visualization)",1812,Company - Public,"Irving, TX",10000+ Employees,Investment Banking & Asset Management,"Expert in Databricks
Azure bigdata services.
Experience using Azure offerings for Compute, Containers, Big Data, Data Analytics : Data Lake, Data Factory, Stream Analytics
Minimum 3 years of programing experience in Spark and Hadoop
Hbase data modelling experience
Data visualization experience in Power bi/Tableau via phoenix ODBC connector
Big data stack – Hadoop, Spark, NoSQL. Strong knowledge of internals.
Strong programing skills in python and SQL."
12,,Finance,3.9,FAAZ Consulting,$10+ billion (USD),SAS Data Scientist,1812,Company - Public,"Washington, DC",10000+ Employees,Investment Banking & Asset Management,"Citi Consumer Technology is seeking dozens of talented entry-level engineers for its Data & Analytics organization, based in Dallas, Texas, and Jacksonville, Fla.
We work with a variety of technologies and are hiring across multiple teams, including Visualization, Data Engineering & Machine Learning Engineering. You’ll find more information below on our roles, our interview process, and our commitment to your growth and development.
Applications are accepted year-round, with multiple start dates organized around orientation trainings.
Our Organization
The best way to think about Citi Consumer Technology is that we’re a tech company inside a bank. We develop software that has a variety of end users: mobile apps and websites that help our customers manage their money, desktop software that allows our customer service agents to provide help and advice, and internal databases, microservices or tools that teams at Citi rely upon every day.
Technology
Digital Software Engineering"
13,,Finance,3.9,Health Data Analytics Institute,$10+ billion (USD),"Data Analyst, Population Health",1812,Company - Public,"Dedham, MA",10000+ Employees,Investment Banking & Asset Management,"Citi Consumer Technology is seeking dozens of talented entry-level engineers for its Data & Analytics organization, based in Dallas, Texas, and Jacksonville, Fla.
We work with a variety of technologies and are hiring across multiple teams, including Visualization, Data Engineering & Machine Learning Engineering. You’ll find more information below on our roles, our interview process, and our commitment to your growth and development.
Applications are accepted year-round, with multiple start dates organized around orientation trainings.
Our Organization
The best way to think about Citi Consumer Technology is that we’re a tech company inside a bank. We develop software that has a variety of end users: mobile apps and websites that help our customers manage their money, desktop software that allows our customer service agents to provide help and advice, and internal databases, microservices or tools that teams at Citi rely upon every day.
Technology
Digital Software Engineering"
14,,Unknown / Non-Applicable,,Digital Trike,,Data Science & Analytics,Company - Private,IT Services,"South Jordan, UT",1 to 50 Employees,Information Technology,
15,,Unknown / Non-Applicable,,"VIZIO, Inc.",,Data Scientist,Company - Private,IT Services,"Denver, CO",1 to 50 Employees,Information Technology,"As much as you’re a master at rigorous mining, culling and interpretation of big data, you’re equally at task to glean small but meaningful data insights and making it pop in multiple data visualization platforms."
16,,Unknown / Non-Applicable,,Sam's Club,,Data Scientist,Company - Private,IT Services,"Dallas, TX",1 to 50 Employees,Information Technology,"As much as you’re a master at rigorous mining, culling and interpretation of big data, you’re equally at task to glean small but meaningful data insights and making it pop in multiple data visualization platforms."
17,,Unknown / Non-Applicable,,Brilliant,,Data Visualization Analyst,Company - Private,IT Services,"Lake Forest, IL",1 to 50 Employees,Information Technology,"As much as you’re a master at rigorous mining, culling and interpretation of big data, you’re equally at task to glean small but meaningful data insights and making it pop in multiple data visualization platforms."
18,,Unknown / Non-Applicable,,FinTek Solutions LLC,,Data Science,Company - Private,IT Services,"Tampa, FL",1 to 50 Employees,Information Technology,"As much as you’re a master at rigorous mining, culling and interpretation of big data, you’re equally at task to glean small but meaningful data insights and making it pop in multiple data visualization platforms."
19,Employer Provided Salary:$54K - $80K,Transportation & Logistics,4.1,FedEx Services,$1 to $5 million (USD),Data Analyst,2000,Company - Public,Virginia,10000+ Employees,Logistics & Supply Chain,
20,Employer Provided Salary:$54K - $80K,Transportation & Logistics,4.1,Pivosys Inc.,$1 to $5 million (USD),Python Developer -With Data Science Experience,2000,Company - Public,"Sacramento, CA",10000+ Employees,Logistics & Supply Chain,"Company: FedEx Services
Job Title: Data Analyst
Job Requisition Number: RC389493
Category: Decision Science & Analytics
Pay Type: Exempt
Locations:
Remote, Tennessee 38120
United States

Oklahoma City, Oklahoma 73105
United States

Compensation: Monthly Salary $4504.12 - $6688.92
The estimate displayed represents the typical salary range or starting rate of candidates hired in Colorado. Factors that may be used to determine your actual salary may include your specific skills, your remote work location (for remote postings), how many years of experience you have, and comparison to other employees already in this role."
21,Employer Provided Salary:$54K - $80K,Transportation & Logistics,4.1,Pinnacle Group,$1 to $5 million (USD),Data Engineer (Remote 667-1),2000,Company - Public,"Memphis, TN",10000+ Employees,Logistics & Supply Chain,"Company: FedEx Services
Job Title: Data Analyst
Job Requisition Number: RC389493
Category: Decision Science & Analytics
Pay Type: Exempt
Locations:
Remote, Tennessee 38120
United States

Oklahoma City, Oklahoma 73105
United States

Compensation: Monthly Salary $4504.12 - $6688.92
The estimate displayed represents the typical salary range or starting rate of candidates hired in Colorado. Factors that may be used to determine your actual salary may include your specific skills, your remote work location (for remote postings), how many years of experience you have, and comparison to other employees already in this role."
22,Employer Provided Salary:$90K - $140K,,,Revelio Labs,,"Data Engineer, Dashboard",,,"New York, NY",,,
23,Employer Provided Salary:$90K - $140K,,,Siemens,,GDC Data Catalog DevOps Professional,,,"Ice, KY",,,"Who we are:
Revelio Labs provides workforce intelligence. We absorb and standardize hundreds of millions of public employment records to create the world’s first universal HR database, allowing us to see current workforce composition and trends of any company. Our customers include investors, corporate strategists, HR teams, and governments.
What we're looking for:
Revelio Labs is looking for a Data Engineer with strong software engineering skills to work on a variety of novel problems related to infrastructure platform building, data analysis, and process automation. We prefer candidates who are self motivated and can think creatively about different ways to approach a problem.
Experience:
Master’s Degree in Computer Science or 2+ years of industry experience"
24,,Manufacturing,4.1,Dell Technologies,$10+ billion (USD),Jr Data Scientist-AI/ML (Remote-United States),1843,Company - Public,"Round Rock, TX",10000+ Employees,Electrical & Electronic Manufacturing,
25,,Information Technology,4.1,Treeco Group,$10+ billion (USD),Data Engineer,1843,Company - Public,"Chicago, IL",10000+ Employees,IT Services,"The Data Catalog DevOps Professional provides support for the product owner delivering various data catalog topics in the data governance and management area.
Our objective is to enable the owners, stewards and business stakeholders to organize, search, discover, steward, model, shop, trust and understand enterprise data and analytics to drive digitalization in the company.

Your tasks and responsibilities:
You will consult and create custom objects Informatica Axon and EDC solution
You will develop custom Rest API scripts and integration based on use case requirements and to integrate various kinds of systems and data objects and workflows
You will support to configure and maintain enterprise use case specific templates various data and analytical objects including data dictionary, data domains, business glossary, business datasets, rules, tagging, etc."
26,,,4.2,Facebook,$10+ billion (USD),"Data Scientist, Analytics (University Grad)",1984,Company - Public,"Menlo Park, CA",10000+ Employees,IT Services,"Jr Data Scientist-AI/ML (Remote-United States)
Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-intensive analytic processing, our mission is to develop a whole new approach to generating meaning and value from petabyte-scale data sets and shape brand new methodologies, tools, statistical methods and models. What’s more, we are in collaboration with leading academics, industry experts and highly skilled engineers to equip our customers to generate sophisticated new insights from the biggest of big data.
Join us to do the best work of your career and make a profound social impact as a Senior Data Scientist within our Digital IT organization's Digital Analytics and Data Science team.

What you’ll achieve"
27,,Information Technology,4.4,Salesforce,$10+ billion (USD),Data Science Engineer,2004,Company - Public,"Seattle, WA",10000+ Employees,Internet,"Are you passionate about Facebook’s product, analytics and technology? The Analytics team is looking for fast-moving analytics candidates and data junkies who want to make an impact. Candidates will help own analytics for a particular product or business at Facebook and work with product managers and engineers to translate the analysis into meaningful impact to the business. Please note that candidates will have a general interview and then we will make a determination of actual team assignments.
Perform large-scale data analysis and develop effective statistical models for segmentation, classification, optimization, time series, etc.
Design and implement reporting dashboards that track key business metrics and provide actionable insights
Identify actionable insights, suggest recommendations and influence the direction of the business by effectively communicating results to cross-functional groups
Work closely with Product or Engineering & Operations teams to proactively create rule and manage decisions"
28,Employer Provided Salary:$82K,Information Technology,4.4,Interview Query,$10+ billion (USD),Data Science Content Developer,1999,Company - Public,Remote,10000+ Employees,Computer Hardware & Software,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
We're hiring across teams, which include: Analytics, Commerce, Einstein, IoT, Mulesoft, Search Relevance, Security, Service, Service Protection team, Marketing Cloud

In school, or graduated within the last 12 months? Please visit FutureForce for opportunities

Salesforce is looking for an exceptional engineer ideally with a dual background in machine learning and software engineering to help us take on one of the world’s most extensive data sets and transform it into amazing products that feel like magic. You will work on cutting-edge AI applications and products. Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.










Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records."
29,Employer Provided Salary:$24 - $48 Per Hour,,,Data Xpander,,Data Scientist,,,United States,,,"Interview Query is a small data science startup completely remote! Our mission is to help anyone in the data science field pass their interviews and land a data science job with our data science preparation materials.
To help fuel our next phase of growth, we are seeking a high-energy and ambitious Data Science Content Developer to help us with creating learning materials. As a key hire in product and operations, this person's responsibility will be to work on sharing their expertise in data science, analytics, and machine learning to our broader customer base.
You will have the opportunity to work with the founders towards learning how to build a business and grow a business while writing to a target technical demographic. You will have a large scope of responsibility with the ability to see the results of your work reflected immediately. This is a great experience for anyone interested in entrepreneurship.
This is a part time role and is extremely flexible."
30,$17 - $96 Per Hour(Employer est.),Manufacturing,3.9,Toyota,$10+ billion (USD),Junior Data Scientist,1957,Company - Public,"Plano, TX",10000+ Employees,Transportation Equipment Manufacturing,"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.
Who We're Looking For"
31,$17 - $96 Per Hour(Employer est.),Manufacturing,3.9,John Deere,$10+ billion (USD),Data Science & Analytics Development Program 2021b,1957,Company - Public,"Moline, IL",10000+ Employees,Transportation Equipment Manufacturing,"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.
Who We're Looking For"
32,$17 - $96 Per Hour(Employer est.),Information Technology,3.2,CORMAC,Less than $1 million (USD),Junior Data Scientist / Entry Level Data Scientist,2002,Company - Private,United States,1 to 50 Employees,Computer Hardware & Software,"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.
Who We're Looking For"
33,$17 - $96 Per Hour(Employer est.),Information Technology,3.2,Nestria,Less than $1 million (USD),Python & Data Science Mentor,2002,Company - Private,Remote,1 to 50 Employees,Computer Hardware & Software,"Job position/level: Junior Data Scientist / Entry Level Data Scientist
Job Location: Anywhere from USA
Fulltime/Part-time: Fulltime/Part-time
Month/Year: September 2020

CORMAC is transforming the Healthcare industry using Data and Analytics. CORMAC is looking for an enthusiastic and innovative candidate to join our Data Science team. CORMAC is seeking an Entry Level Data Scientist to join our Data Science Practice. A qualified candidate should be able to provide Data Science support for our products, prototypes and projects."
34,$17 - $96 Per Hour(Employer est.),$10 to $25 million (USD),5.0,Ars Quanta,,Data Scientists,Company - Private,Consulting,"Seattle, WA",1 to 50 Employees,Business Services,"Nestria is a network for learning and careers. We are seeking talented & experienced tech professionals to offer mentorship to applicants seeking jobs in the tech industry, and offer group mentorship sessions or classes to help their career journeys.
The primary thing that a mentee is looking for is support in their career. A lot of people will be in an early phase of their career where they are just starting out in an industry. They want help searching for a job, and understanding the different directions in which they can develop their career.
Ideal candidates are currently working in the tech industry. Feel free to apply if you think that you have adequate credentials to mentor job seekers for tech industry jobs in software development or data science.
Job Type: Part-time
Pay: $18.00 - $100.00 per hour"
35,$17 - $96 Per Hour(Employer est.),$10 to $25 million (USD),5.0,Nike,,"Director, Communications Algorithms Data Science",Company - Private,Consulting,"Beaverton, OR",1 to 50 Employees,Business Services,We are always looking for Data Scientists who want to work on challenging and interesting projects in a variety of industries.
36,$17 - $96 Per Hour(Employer est.),Manufacturing,5.0,Numerdox,$10+ billion (USD),Data Scientist - Entry Level,1972,Company - Public,"Sacramento, CA",1 to 50 Employees,Consumer Products Manufacturing,We are always looking for Data Scientists who want to work on challenging and interesting projects in a variety of industries.
37,$17 - $96 Per Hour(Employer est.),,,Source Enterprises,,Data Scientist,,,"New York, NY",,,"As a Data Scientist you will be working on consulting side of our business. You will be responsible for analyzing large, complex datasets and identify meaningful patterns that lead to actionable recommendations. You will be performing thorough testing and validation of models, and support various aspects of the business with data analytics.
Ability to do statistical modeling, build predictive models and leverage machine learning algorithms.
This position will combine the typical Data Scientist math and analytical skills, with research, advanced business, communication, and presentation skills.
Primary job location is in Sacramento, but work-from-home option is available.

Qualifications"
38,$17 - $96 Per Hour(Employer est.),Unknown / Non-Applicable,4.4,CVS Health,,Data Science Analyst,Company - Private,IT Services,"New York, NY",1 to 50 Employees,Information Technology,"Source Systems is now inviting the brightest, creative and passionate minds to become a part of our Data Scientist Internship Program. Work with our industry experts to gain unrivaled knowledge at both the strategic level (generating bold and innovative ideas for data science-driven growth) and at the tactical level across multiple teams (building and testing hypotheses, creating predictive analytics models, incorporating findings into proof points supporting product launches). These invaluable experiences will greatly increase your skills and value to employers. We know what it takes to leverage powerful data systems that are used to provide important results for company planning and key decision making.
Job Description
A position at Source Systems is a rich experience that cannot be duplicated in any other learning/working environment. We are looking for a Data Scientist Intern that helps us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products."
39,$17 - $96 Per Hour(Employer est.),Business Services,4.4,Cuker,Unknown / Non-Applicable,Data Science & Analytics Specialist,Company - Private,,"Carlsbad, CA",1 to 50 Employees,Advertising & Marketing,"Source Systems is now inviting the brightest, creative and passionate minds to become a part of our Data Scientist Internship Program. Work with our industry experts to gain unrivaled knowledge at both the strategic level (generating bold and innovative ideas for data science-driven growth) and at the tactical level across multiple teams (building and testing hypotheses, creating predictive analytics models, incorporating findings into proof points supporting product launches). These invaluable experiences will greatly increase your skills and value to employers. We know what it takes to leverage powerful data systems that are used to provide important results for company planning and key decision making.
Job Description
A position at Source Systems is a rich experience that cannot be duplicated in any other learning/working environment. We are looking for a Data Scientist Intern that helps us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products."
40,$17 - $96 Per Hour(Employer est.),Business Services,4.5,Amazon.com Services LLC,Unknown / Non-Applicable,SDE- Measurement & Data Science- 2021,2006,Company - Private,"Boulder, CO",1 to 50 Employees,Advertising & Marketing,"Job Summary
We are looking for a Data Science Specialist to organize and interpret data for key decision makers and support online business growth for our clients. You will work hand in hand with our award winning strategists, marketing team and engineers. Our ideal candidate is a responsible, dedicated, and career-minded professional interested in growth opportunities. So if you’ve got the talent and if you are looking to start your career with a company with great culture who truly values their employees, empowers individual growth and would love to have a healthy work/life balance, we’d love to hear from you.
This is a full time position with benefits.
About Cuker
Cuker is a progressive Digital Design & Marketing Agency that specializes in driving results for our clients. We work with some of the world’s most recognizable brands on high profile creative and advertising campaigns. Our offices are located in sunny North County San Diego just a short walk to the beach. Our state of the art campus includes gym membership, yoga classes, surf racks, spa style locker rooms, grab-and-go bikes, and more. We offer competitive salary, PTO, and excellent benefits. We are committed to supporting and empowering our team in a creative, dynamic and open environment."
41,$17 - $96 Per Hour(Employer est.),Business Services,4.5,FAAZ Consulting,Unknown / Non-Applicable,IBM Data Science Professional,2006,Company - Private,"Washington, DC",1 to 50 Employees,Advertising & Marketing,"Job Summary
We are looking for a Data Science Specialist to organize and interpret data for key decision makers and support online business growth for our clients. You will work hand in hand with our award winning strategists, marketing team and engineers. Our ideal candidate is a responsible, dedicated, and career-minded professional interested in growth opportunities. So if you’ve got the talent and if you are looking to start your career with a company with great culture who truly values their employees, empowers individual growth and would love to have a healthy work/life balance, we’d love to hear from you.
This is a full time position with benefits.
About Cuker
Cuker is a progressive Digital Design & Marketing Agency that specializes in driving results for our clients. We work with some of the world’s most recognizable brands on high profile creative and advertising campaigns. Our offices are located in sunny North County San Diego just a short walk to the beach. Our state of the art campus includes gym membership, yoga classes, surf racks, spa style locker rooms, grab-and-go bikes, and more. We offer competitive salary, PTO, and excellent benefits. We are committed to supporting and empowering our team in a creative, dynamic and open environment."
42,$17 - $96 Per Hour(Employer est.),Business Services,4.5,Walmart,Unknown / Non-Applicable,Data Scientist,2006,Company - Private,"Dallas, TX",1 to 50 Employees,Advertising & Marketing,"Job Summary
We are looking for a Data Science Specialist to organize and interpret data for key decision makers and support online business growth for our clients. You will work hand in hand with our award winning strategists, marketing team and engineers. Our ideal candidate is a responsible, dedicated, and career-minded professional interested in growth opportunities. So if you’ve got the talent and if you are looking to start your career with a company with great culture who truly values their employees, empowers individual growth and would love to have a healthy work/life balance, we’d love to hear from you.
This is a full time position with benefits.
About Cuker
Cuker is a progressive Digital Design & Marketing Agency that specializes in driving results for our clients. We work with some of the world’s most recognizable brands on high profile creative and advertising campaigns. Our offices are located in sunny North County San Diego just a short walk to the beach. Our state of the art campus includes gym membership, yoga classes, surf racks, spa style locker rooms, grab-and-go bikes, and more. We offer competitive salary, PTO, and excellent benefits. We are committed to supporting and empowering our team in a creative, dynamic and open environment."
43,$17 - $96 Per Hour(Employer est.),Information Technology,3.8,Bose,$10+ billion (USD),Data Analyst – Data Science and Advanced Analytics - Data Center of Excellence,1994,Company - Public,"Framingham, MA",10000+ Employees,Internet,
44,$17 - $96 Per Hour(Employer est.),,4.0,"IdentifyUp, Inc.",,Data Engineer,1964,Company - Private,"Austin, TX",5001 to 10000 Employees,,"Do you love working with App and product data as well as operational and marketing data ? Would y ou like to use your Data Analytics skills to solve real world proble ms and improve people’s lives? Bose produces innovative products and experiences that improve our customer’s lives . This is a unique opportunity to shape the experiences, technologies and products that millions of people will use.
As part of the CoE team, you will evangelize a data-driven culture throughout the organization and enable products grounded in science and powered by AI which improve our cu stomer’s experience.
This Data Analyst role will drive analysis and reporting across many diverse data sets to make sure we deliver impact from our data products and services. This includes identifying and categorizing patterns across product usage, creating user profiles, analysis of review data and creating dashboards and reports that display actionable business metrics. This work will directly inform and influence multiple division’s strategi es .
The ideal candidate has a deep understanding of data analytics and visualization, coupled with creativity and business acumen. Because you will often serve as an internal expert about the data, what it means and how it can be used to solve business problems, you can demonstrate that you have experience deeply understanding the data structure and applying rigorous analytical methods to derive actionable recommendations. We are seeking a highly mo tivated, detail-oriented analyst who can transform raw data into meaningful insights, providing actionable recommendations. This individual will be part of an extended team.





Bose is an equal opportunity employer that is committed to inclusion and diversity. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, age, disability, veteran status, or any other legally protected characteristics. For additional information, please review: (1) the EEO is the Law Poster (http://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf); and (2) its Supplements (http://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm). Please note, the company's pay transparency is available at http://www.dol.gov/ofccp/pdf/EO13665_PrescribedNondiscriminationPostingLanguage_JRFQA508c.pdf. Bose is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the application or employment process, please send an e-mail to Wellbeing@bose.com and let us know the nature of your request and your contact information."
45,$17 - $96 Per Hour(Employer est.),,,Volant Trading,,Data Analyst,,,"New York, NY",,,"Senior Data Engineer
Our Data Engineering team is looking for a senior level software engineering professional with experience working on and developing large-scale data processing systems. You’ll work with project management teams along with business and technical stakeholders to define actionable business value requirements in order to provide solutions that balance time-to-market outcomes for a geographically diverse environment.
In addition to the development of data-driven product responsibilities, you’ll work closely with data science on building data pipelines; having an opportunity to play detective with data analysis to solve big-data puzzles.
We’re a global company that connects advertisers with the right publisher, offering at scale a full-stack programmatic solution. We do this by running algorithms on large sets of data, then we analyze it to make critical business decisions within milliseconds. We build high-frequency (1m queries per second), low latency transactional systems that power the advertising that funds all content creation across the web."
